rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	14		スズカコーズマンボ	牡3	52.0		小林凌大	1:23.7		11-11	34.7	20.1	8	476	8		伊藤圭三		永井啓弍	760.0
2	5	10		ネイビーアッシュ	牝5	54.0		木幡育也	1:23.9	1.1/4	12-13	34.6	105.9	13	490	6		伊坂重信		吉田勝己	300.0
3	8	15		ベルウッドヨウサン	セ3	55.0		北村宏司	1:24.1	1.1/4	4-5	35.7	8.4	3	496	-2		中舘英二		鈴木照雄	190.0
4	4	7		ミッキーチャイルド	牡5	57.0		田辺裕信	1:24.3	1.1/4	1-1	36.3	10.2	4	488	-6		久保田貴		野田みづき	110.0
5	1	1		ミツカネプリンス	牡3	55.0		津村明秀	1:24.4	3/4	7-6	35.8	10.9	5	446	0		鈴木伸尋		小山田満	76.0
6	2	3		コングールテソーロ	牡4	57.0		武藤雅	1:24.6	1.0	13-11	35.5	60.7	12	482	-2		奥平雅士		了徳寺健二ホールディングス	
7	4	8		デルマカミカゼ	牡5	57.0		石川裕紀	1:24.9	1.3/4	2-2	36.8	11.5	6	458	-4		小野次郎		浅沼廣幸	
8	8	16		イサチルダイチ	牡4	57.0		秋山真一	1:25.0	1/2	16-14	35.4	18.9	7	494	-2		竹内正洋		小坂功	
9	3	5		キタノユウキ	牡5	57.0		大野拓弥	1:25.0	クビ	3-3	36.7	2.4	1	560	0		相沢郁		河内孝夫	
10	6	11		トーホウボッカ	牡4	57.0		嘉藤貴行	1:25.2	1.1/2	10-8	36.4	264.6	16	476	-8		田中清隆		東豊物産	
11	7	13		リアンフィーユ	牝3	53.0		戸崎圭太	1:25.4	1.1/4	13-14	35.8	4.3	2	448	2		斎藤誠		ＣＨＥＶＡＬＡＴＴＡＣＨＥ	
12	5	9		アドゥシール	牝4	55.0		横山和生	1:25.6	1.1/4	15-16	35.5	200.1	15	470	9		勢司和浩		大樹ファーム	
13	3	6		スズカアポロ	牡9	57.0		岩部純二	1:25.7	1/2	4-6	37.2	163.9	14	468	-6		柄崎孝		永井啓弍	
14	6	12		セイスケルツォ	牡3	55.0		内田博幸	1:25.7	クビ	8-8	36.9	33.5	9	512	4		浅野洋一		金田成基	
15	2	4		ペプチドオリバー	牡4	57.0		江田照男	1:25.8	1/2	8-8	37.0	48.0	11	480	10		石毛善彦		沼川一彦	
16	1	2		ソラン	牡3	55.0		荻野極	1:26.1	2.0	4-3	37.8	38.7	10	522	-2		古賀史生		鈴木康弘	
