	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
202143011101	ダ	左	1200	曇	良	14:00	C3十二		2021-1-11	10	船橋	1			3	120	1	3	100	1	7	150	3	4.0	170	4.0	3-7	370	2	3-7	180	2	3-4	300	4	4-7	990	12	3=>7	360	2	3-4-7	1240	6	3=>7=>4	2040	7		2348-7651	2348-7-651	34287-65-1	13.0 - 11.5 - 12.1 - 12.8 - 13.6 - 13.7	13.0 - 24.5 - 36.6 - 49.4 - 63.0 - 76.7 (36.6-40.1)						
202143011102	ダ	左	1200	曇	良	14:30	C3十一		2021-1-11	10	船橋	1			11	290	1	11	130	2	8	180	5	7.0	120	1.0	8-11	1810	8	8-11	480	8	7-11	210	1	7-8	280	2	11=>8	2560	12	7-8-11	1120	2	11=>8=>7	6450	14		113711012458269.0	117103121584629.0	117310121854269.0	12.9 - 12.4 - 12.4 - 12.7 - 12.4 - 13.1	12.9 - 25.3 - 37.7 - 50.4 - 62.8 - 75.9 (37.7-38.2)	6-8	240.0	1.0	8=>6	430.0	1.0
202143011103	ダ	左	1200	曇	良	15:00	C3十		2021-1-11	10	船橋	1			1	590	3	1	310	4	5	1,140	9	7.0	2,160	12.0	1-5	7110	28	1-5	2,150	27	1-7	6,990	57	5-7	14,590	65	1=>5	13970	53	1-5-7	140770	189	1=>5=>7	680660	985		235814671011129.0	235181069121174.0	253186109111274.0	12.8 - 11.9 - 12.3 - 12.8 - 13.5 - 13.5	12.8 - 24.7 - 37.0 - 49.8 - 63.3 - 76.8 (37.0-39.8)	1-5	2040.0	9.0	1=>5	3670.0	15.0
202143011104	ダ	左	1500	曇	良	15:30	3歳三　四		2021-1-11	10	船橋	1	115万円以上181万円未満		4	200	1	4	120	1	6	250	4				4-6	740	4	4-6	230	4	4-5	160	2	5-6	240	5	4=>6	1340	7	4-5-6	400	2	4=>6=>5	3280	13	456321.0	456321	456321	456321	7.1 - 13.0 - 13.2 - 13.3 - 12.5 - 12.7 - 12.6 - 13.2	7.1 - 20.1 - 33.3 - 46.6 - 59.1 - 71.8 - 84.4 - 97.6 (33.3-38.5)						
202143011105	ダ	左	1200	曇	良	16:00	3歳三　四		2021-1-11	10	船橋	1	115万円以上181万円未満		9	190	1	9	120	1	10	200	4	11.0	200	3.0	9-10	610	3	9-10	220	2	9-11	280	3	10-11	840	12	9=>10	960	3	9-10-11	1340	3	9=>10=>11	3800	6		283911612410751.0	238911461210715.0	982311461210175.0	12.6 - 11.4 - 11.9 - 12.5 - 13.3 - 13.5	12.6 - 24.0 - 35.9 - 48.4 - 61.7 - 75.2 (35.9-39.3)	7-7	640.0	3.0	7=>7	790.0	3.0
202143011106	ダ	左	1500	曇	良	16:30	3歳二		2021-1-11	10	船橋	1	181万円以上271万円未満		5	460	4	5	130	2	9	310	6	4.0	160	3.0	5-9	1350	6	5-9	530	7	4-5	390	5	4-9	550	8	5=>9	2520	11	4-5-9	1850	7	5=>9=>4	8080	23	895437261.0	895437261	8954-72361	985472361	6.9 - 12.1 - 12.2 - 12.7 - 12.6 - 12.8 - 12.8 - 13.7	6.9 - 19.0 - 31.2 - 43.9 - 56.5 - 69.3 - 82.1 - 95.8 (31.2-39.3)	5-8	1190.0	7.0	5=>8	1950.0	10.0
202143011107	ダ	左	1500	曇	良	17:00	C2二		2021-1-11	10	船橋	1			7	390	3	7	220	3	5	400	6	9.0	550	7.0	5-7	2770	14	5-7	1,160	17	7-9	900	14	5-9	1,810	22	7=>5	4550	20	5-7-9	9710	37	7=>5=>9	36490	137	567412839.0	562471839	265714893	265718493	7.2 - 12.2 - 12.7 - 12.7 - 12.4 - 12.7 - 13.0 - 13.5	7.2 - 19.4 - 32.1 - 44.8 - 57.2 - 69.9 - 82.9 - 96.4 (32.1-39.2)	5-7	3310.0	13.0	7=>5	7100.0	26.0
202143011108	ダ	左	1200	曇	良	17:30	馬い!?江戸前千葉海		2021-1-11	10	船橋	1			3	490	2	3	150	2	10	120	1	5.0	230	6.0	3-10	630	1	3-10	310	1	3-5	570	10	5-10	450	7	3=>10	1480	5	3-5-10	2400	8	3=>10=>5	12800	40		764103128159211.0	761084312519211.0	761083451212911.0	12.3 - 11.8 - 12.1 - 12.4 - 12.7 - 13.6	12.3 - 24.1 - 36.2 - 48.6 - 61.3 - 74.9 (36.2-38.7)	3-7	600.0	2.0	3=>7	1420.0	6.0
202143011109	ダ	左	1500	曇	良	18:05	C1三　四		2021-1-11	10	船橋	1			9	300	2	9	120	2	7	110	1	10.0	770	11.0	7-9	240	1	7-9	180	1	9-10	1,740	22	7-10	1,470	17	9=>7	530	2	7-9-10	3520	10	9=>7=>10	10360	31	6.817941113210351e+16	68179411132310512	68791104112133125	79108141162351213	6.8 - 12.4 - 12.7 - 13.0 - 13.1 - 12.1 - 12.8 - 13.2	6.8 - 19.2 - 31.9 - 44.9 - 58.0 - 70.1 - 82.9 - 96.1 (31.9-38.1)	5-6	220.0	1.0	6=>5	450.0	1.0
202143011110	ダ	左	1200	曇	良	18:40	房総スプリント 		2021-1-11	10	船橋	1			5	6250	7	5	780	8	7	140	2	6.0	170	3.0	5-7	4630	11	5-7	1,110	14	5-6	1,550	16	6-7	200	2	5=>7	19650	31	5-6-7	3400	11	5=>7=>6	67770	124		57316842.0	57361482.0	57361248.0	12.4 - 11.6 - 12.6 - 12.2 - 12.5 - 12.6	12.4 - 24.0 - 36.6 - 48.8 - 61.3 - 73.9 (36.6-37.3)						
