rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	4		ナリタクローネ	牡5	54.0		石堂響	1:19.3		4-4-4-3	37.8	3.7	3	465	1		坂本和也		（株）オースミ	50.0
2	1	1		ミオプラネット	牝4	54.0		永島太郎	1:19.5	1.1/4	1-1-1-1	38.3	3.3	2	470	16		玉垣光章		大西美生子	14.0
3	7	8		シャドウゲーム	セ9	56.0		田中学	1:19.9	2.1/2	6-6-6-5	38.2	32.2	9	472	-3		織田誠		内田裕美	7.0
4	3	3		エーシンザヘッド	牡9	56.0		大柿一真	1:20.1	1.0	7-7-8-8	38.1	25.4	7	477	-5		山口浩幸		冨田藤男	5.0
5	2	2		メモリーブレッド	牡4	56.0		田野豊三	1:20.1	ハナ	8-8-7-6	38.1	17.7	5	506	-4		新井隆太		（株）さくらコーポ	4.0
6	5	5		ブリリアントアリス	牝5	54.0		杉浦健太	1:20.3	1.0	2-2-2-2	39.0	29.4	8	419	-2		南弘樹		田中定彦	
7	8	9		アサムシホープ	牡5	56.0		大山真吾	1:20.3	クビ	9-9-9-9	38.0	13.0	4	519	-6		田中一巧		宮原廣伸	
8	6	6		ゴッドバローズ	セ7	56.0		長谷部駿	1:20.4	1/2	5-5-5-7	38.9	77.6	10	438	1		田村彰啓		梶川素嗣	
9	7	7		ユーキホープ	牡6	56.0		下原理	1:20.6	1.1/2	3-3-3-4	39.3	24.3	6	510	-3		中塚猛		田畑富子	
中	8	10		ユーデモニクス	セ4	56.0		川原正一					2.5	1	455	-1		柏原誠路		岡田牧雄	
