waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2020105687	ベルウッドアラシ	牡2	54.0	01009	柴田大	01143	和田雄	438	0
1	2	2020103654	マローディープ	牡2	54.0	05339	ルメール	01126	木村	502	0
2	3	2020102348	カゼノハクシュウ	牡2	54.0	01096	大野	00423	上原博	464	0
2	4	2020103949	シャコンヌ	牡2	54.0	01077	石橋脩	01171	小手川	428	0
3	5	2020104086	ウェンダヴズクライ	牝2	54.0	01127	丸山	01029	根本	404	0
3	6	2020100373	マルティネーテ	牝2	52.0	01173	山田	01005	小桧山	458	0
4	7	2020103500	ドンデンガエシ	牡2	54.0	01170	横山武	01103	尾関	456	0
4	8	2020101090	ベアラブリー	牝2	54.0	01085	松岡	01008	杉浦	458	0
5	9	2020102646	クラックオブドーン	牡2	54.0	01014	福永	01153	中舘	460	0
5	10	2020100741	ノーブルラン	牡2	54.0	01092	津村	01141	尾形	450	0
6	11	2020100764	オースピス	牝2	54.0	01179	菅原明	00412	高橋裕	412	0
6	12	2020102752	ナゴミチャン	牝2	54.0	01122	三浦	01124	大和田	442	0
7	13	2020101896	サルトルーヴィル	牡2	54.0	01162	木幡巧	01106	牧	476	0
7	14	2020100615	アップチェリー	牝2	53.0	01181	秋山稔	01131	蛯名利	394	0
8	15	2020102119	ロードディフィート	牡2	54.0	01174	岩田望	01165	和田勇	428	0
8	16	2020103497	シャンディエン	牡2	54.0	05585	レーン	01163	林	486	0
