horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	重賞/出走	重賞/勝利	特別/出走	平場/出走	芝/出走	ダート/出走	勝利/ダート
000a000465	2015	679	2	0	3	0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2009101385.0										
000a000465	2014	338	4	1	26	2	0.0	0.0	8.0	1.0	18.0	1.0	16.0	2.0	10.0	0.0	0.25	0.96	2344.4	1200.0	0.0	2009101850.0										
000a000465	2013	271	7	2	47	2	1.0	0.0	13.0	1.0	33.0	1.0	25.0	1.0	17.0	1.0	0.28600000000000003	0.82	3421.9	1800.0	1200.0	2007100509.0										
000a000465	2012	231	11	2	52	2	4.0	0.0	14.0	0.0	34.0	2.0	23.0	1.0	29.0	1.0	0.182	0.71	4610.4	1200.0	1200.0	2007100509.0										
000a000465	2011	198	15	3	69	3	1.0	0.0	18.0	1.0	50.0	2.0	24.0	1.0	40.0	2.0	0.2	0.7	6439.8	1400.0	1450.0	2005104158.0										
000a000465	2010	140	17	6	73	9	0.0	0.0	10.0	2.0	63.0	7.0	27.0	3.0	44.0	6.0	0.353	0.98	10335.0	1533.3	1250.0	2005104158.0										
000a000465	2009	173	23	5	94	6	0.0	0.0	9.0	0.0	85.0	6.0	55.0	4.0	39.0	2.0	0.217	0.52	7516.8	1800.0	1450.0	2005104158.0										
000a000465	2008	135	31	7	147	7	2.0	0.0	19.0	0.0	126.0	7.0	65.0	3.0	81.0	4.0	0.226	0.57	11195.9	1666.7	1187.5	2004101067.0										
000a000465	2007	86	41	5	186	6	5.0	1.0	26.0	1.0	155.0	4.0	77.0	3.0	103.0	3.0	0.122	0.64	17254.4	1333.3	1550.0	2004102132.0										
000a000465	2006	56	59	9	294	13	3.0	0.0	51.0	2.0	240.0	11.0	131.0	8.0	148.0	4.0	0.153	0.63	24280.6	1425.0	1550.0	2004102132.0										
