horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a002151	2017	472	1	1	9	1	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	9.0	1.0	1.0	1.6	1000.0	0.0	1800.0	2014110023.0
000a010bb3	2017	682	1	0	5	0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2014110032.0
2001103890	2021	177	14	3	41	4	0.0	0.0	3.0	0.0	38.0	4.0	9.0	0.0	32.0	4.0	0.214	0.61	4191.0	0.0	1400.0	2018103736.0
2001103890	2020	339	9	2	33	2	1.0	0.0	1.0	0.0	31.0	2.0	9.0	1.0	24.0	1.0	0.222	0.46	2564.0	1200.0	1200.0	2017104267.0
2001103890	2019	421	6	2	12	2	0.0	0.0	1.0	0.0	11.0	2.0	7.0	0.0	5.0	2.0	0.333	0.42	1550.0	0.0	1400.0	2015102219.0
2001103890	2018	669	3	0	8	0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2015100108.0
2001103890	2017	526	1	1	2	1	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.12	700.0	1200.0	0.0	2015102219.0
1999110191	2021	510	5	0	11	0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.17	430.0	0.0	0.0	2017100922.0
1999110191	2020	660	3	0	8	0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	6.0	0.0	0.0	0.08	154.0	0.0	0.0	2017100922.0
1999110191	2019	693	2	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2017103069.0
1999110191	2018	654	2	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.06	70.0	0.0	0.0	2016102574.0
1999110191	2017	682	1	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2015109119.0
2003102809	2021	275	6	2	24	2	0.0	0.0	5.0	0.0	19.0	2.0	3.0	0.0	21.0	2.0	0.333	0.75	2226.0	0.0	1400.0	2015101903.0
