horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	勝利/ダート
000a000ddc	2005	590	1	1	4	1	1	0	0	0.0	3	1.0	0	0.0	0	0.0	1.0	1.28	850.0	0.0	0.0	1997100773.0				
000a000ddc	2004	738	1	0	5	0	1	0	0	0.0	4	0.0	1	0.0	0	0.0	0.0	0.5	340.0	0.0	0.0	1997100773.0				
000a000ddc	2003	265	3	1	23	2	1	0	14	2.0	8	0.0	15	2.0	7	0.0	0.3329999999999999	2.6	5455.9	1800.0	0.0	1997100773.0				
000a000ddc	2002	441	2	1	12	1	0	0	3	0.0	9	1.0	7	1.0	5	0.0	0.5	1.4	2035.0	1600.0	0.0	1997100773.0				
000a000ddc	2001	366	1	1	14	2	0	0	4	0.0	10	2.0	5	0.0	9	2.0	1.0	4.02	3069.0	0.0	1750.0	1997100773.0				
000a000ddc	2000	685	2	1	5	1	0	0	0	0.0	5	1.0	0	0.0	5	1.0	0.5	0.38	620.0	0.0	1400.0	1997100773.0				
000a000ddc	1999	512	2	1	9	1	0	0	4	0.0	5	1.0	3	0.0	6	1.0	0.5	0.93	1557.4	0.0	1000.0	1994109523.0				
000a000ddc	1998	676	2	0	8	0	0	0	5	0.0	3	0.0	4	0.0	4	0.0	0.0	0.34	592.6	0.0	0.0	1994109523.0				
000a000ddc	1997	68	3	3	24	5	4	2	6	1.0	14	2.0	15	4.0	9	1.0	1.0	7.94	20780.8	1500.0	1200.0	1991109979.0				
000a000ddc	1996	121	2	1	4	1	3	1	0	0.0	1	0.0	3	1.0	1	0.0	0.5	7.27	12839.6	2000.0	0.0	1991109979.0				
000a000ddc	1995	82	3	2	14	2	4	0	3	1.0	7	1.0	8	1.0	6	1.0	0.667	7.41	19334.0	1800.0	1200.0	1991109979.0				
000a000ddc	1994	105	5	3	34	6	3	0	7	2.0	24	4.0	18	3.0	9	2.0	0.6	3.16	13696.5	2233.3	1600.0	1991109979.0				
000a000ddc	1993	542	3	1	12	1	0	0	3	0.0	9	1.0	12	1.0	0	0.0	0.3329999999999999	0.36	948.0	1400.0	0.0	1990109185.0				
000a000ddc	1991	750	1	0	10	0	0	0	0	0.0	10	0.0	5	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0	1988100590.0				
000a000ddc	1990	232	2	2	10	3	1	0	2	2.0	7	1.0	4	2.0	6	1.0	1.0	2.76	4519.0	2150.0	1800.0	1986101023.0				
000a000ddc	1989	249	2	0	7	0	4	0	3	0.0	0	0.0	7	0.0	0	0.0	0.0	2.53	4007.0	0.0	0.0	1986101023.0				
000a000ddc	1988	360	2	1	6	2	0	0	2	1.0	4	1.0	1	1.0	5	1.0	0.5	1.16	1780.0	1600.0	1200.0	1986101023.0				
000a000ddc	1987	143	2	1	18	4	2	1	6	1.0	10	2.0	8	0.0	10	4.0	0.5	4.64	6894.0	0.0	1850.0	1981105487.0				
000a000ddc	1986	246	1	1	10	2	1	0	8	2.0	1	0.0	5	0.0	5	2.0	1.0	4.61	3181.0	0.0	1750.0	1981105487.0				
000a000ddc	1985	521	2	1	5	1	0	0	0	0.0	5	1.0	0	0.0	5	1.0	0.5	0.37	500.0	0.0	1000.0	1981105487.0				
000a000ddc	1984	296	1	1	9	1	0	0	0	0.0	9	1.0	0	0.0	9	1.0	1.0	3.45	2320.0	0.0	1700.0	1981105487.0				
000a000ddc	1983	578	1	1	1	1	0	0	0	0.0	1	1.0	0	0.0	1	1.0	1.0	0.64	430.0	0.0	1400.0	1981105487.0				
000a000ddc	1982	414	2	1	13	2	0	0	0	0.0	13	2.0	1	0.0	12	2.0	0.5	0.93	1260.0	0.0	1900.0	1979100785.0				
000a000ddc	1981	554	2	0	7	0	0	0	0	0.0	7	0.0	1	0.0	6	0.0	0.0	0.31	420.0	0.0	0.0	1979100785.0				
000a0003ff	2008	512	2	1	15	1	0	0	4	0.0	11	1.0	7	0.0	8	1.0	0.5	0.87	1099.0	0.0	1800.0	2005106775.0				
000a0003ff	2007	646	3	1	14	1	0	0	1	0.0	13	1.0	8	1.0	5	0.0	0.333	0.33	650.0	1800.0	0.0	2004106716.0				
000a0003ff	2006	603	4	1	17	1	0	0	4	0.0	13	1.0	10	1.0	7	0.0	0.25	0.32	830.0	1000.0	0.0	2000106224.0				
000a0003ff	2005	757	4	0	13	0	0	0	6	0.0	7	0.0	2	0.0	9	0.0	0.0	0.09	250.0	0.0	0.0	2000106224.0				
000a0003ff	2004	521	9	1	46	1	0	0	3	0.0	43	1.0	3	0.0	37	1.0	0.111	0.24	1450.0	0.0	2400.0	1996101056.0				
000a0003ff	2003	475	9	1	41	1	0	0	3	0.0	38	1.0	7	0.0	25	1.0	0.111	0.28	1791.0	0.0	1700.0	2000106224.0				
000a0003ff	2002	254	16	4	87	4	0	0	23	0.0	64	4.0	29	0.0	56	3.0	0.25	0.51	5924.0	0.0	1500.0	1997101487.0				
000a0003ff	2001	227	21	3	89	4	9	0	17	1.0	63	3.0	31	3.0	54	1.0	0.143	0.4	6344.2	1400.0	1600.0	1995106904.0				
000a0003ff	2000	112	23	4	131	5	14	0	32	2.0	85	3.0	52	1.0	71	4.0	0.174	0.73	13569.5	1200.0	1525.0	1994107310.0				
000a0003ff	1999	57	25	10	148	14	19	1	48	4.0	81	9.0	87	4.0	52	6.0	0.4	1.27	26613.3	1650.0	1616.7	1995106904.0				
000a0003ff	1998	49	28	9	165	14	13	0	53	5.0	99	9.0	66	5.0	99	9.0	0.321	1.29	31449.3	1520.0	1433.3	1994107310.0				
000a0003ff	1997	48	36	13	237	15	17	0	45	1.0	175	14.0	97	3.0	140	12.0	0.361	0.85	26681.1	1800.0	1375.0	1993107294.0				
000a0003ff	1996	55	53	14	300	20	5	0	54	1.0	241	19.0	127	2.0	167	17.0	0.264	0.58	27131.5	2000.0	1482.4	1992105155.0				
000a0003ff	1995	42	56	13	309	20	3	0	72	4.0	234	16.0	148	6.0	151	12.0	0.232	0.76	36894.5	1733.3	1500.0	1991105138.0				
000a0003ff	1994	34	58	24	326	28	9	0	62	6.0	255	22.0	179	14.0	134	13.0	0.414	0.79	39422.5	1571.4	1476.9	1990106452.0				
000a0003ff	1993	41	60	18	335	22	8	0	83	3.0	244	19.0	181	11.0	139	11.0	0.3	0.65	34240.0	1490.9	1463.6	1989105210.0				
000a0003ff	1992	21	74	28	393	37	20	0	115	11.0	258	26.0	197	14.0	187	23.0	0.378	0.78	51374.0	1671.4	1473.9	1988105827.0				
