horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝
000a000e1f	1982	419	1	1	13	2	0	0	0		13		1		12	2	1.0	1.82	1241.0	0.0	2000.0	1979106436	0.0	2.0	0.0
000a000e1f	1981	157	3	1	8	2	0	0	0		8		2		6	0	0.333	2.5	5066.0	2000.0	0.0	1976z01404	0.0	2.0	2.0
000a000e1f	1980	97	4	4	38	8	0	0	0		38		21		17	3	1.0	3.24	8299.0	1800.0	1366.7	1977106236	0.0	8.0	5.0
000a000e1f	1979	213	3	3	19	4	0	0	0		19		7		12	3	1.0	1.58	2808.0	1800.0	2816.7	1975z00601	0.0	4.0	1.0
000a000e1f	1978	219	3	1	29	1	0	0	0		29		5		24	1	0.333	1.52	2915.0	0.0	1700.0	1975z01555	0.0	1.0	0.0
000a000e1f	1977	449	2	1	4	1	0	0	0		4		3		1	0	0.5	0.44	543.0	1400.0	0.0	1974z01473	0.0	1.0	1.0
000a000e1f	1976	424	3	2	21	2	0	0	0		21		7		14	2	0.667	0.31	585.0	0.0	1700.0	1973z01416	0.0	2.0	0.0
000a000e1f	1975	400	2	1	18	1	0	0	0		18		8		10	0	0.5	0.54	644.0	1800.0	0.0	1973z00793	0.0	1.0	1.0
000a000e1f	1974	496	2	0	11	0	0	0	0		11		1		10	0	0.0	0.16	150.0	0.0	0.0	1971z01202	0.0	0.0	0.0
000a000e1f	1973	385	1	0	12	0	0	0	0		12		9		3	0	0.0	1.07	495.0	0.0	0.0	1969z00043	0.0	0.0	0.0
000a000e1f	1972	354	1	1	10	1	0	0	0		10		6		4	1	1.0	1.27	528.0	0.0	1400.0	1969z00043	0.0	1.0	0.0
000a000e1f	1971	440	1	1	2	1	0	0	0		2		2		0	0	1.0	0.46	180.0	1200.0	0.0	1969z00043	0.0	1.0	1.0
