日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/11	晴	5	14	7	11	50.1	9	5	56.0	良	1:42.9	0.4	12-12-10-10	37.2-40.7	39.5	大井	202244031105	八ツ瀬川賞	movie.html?race_id=202244031105	05524	ダ	1600	479	6	10.0
2021/11/19	晴	3	14	8	13	9.4	4	12	56.0	良	1:44.6	1.8	12-12-13-14	38.2-39.4	39.8	大井	202144111903	魅力がいっぱい’しな	movie.html?race_id=202144111903	05443	ダ	1600	473	2	0.0
2021/11/05	晴	3	14	1	1	19.5	7	2	56.0	良	1:43.5	0.2	9-9-8-6	37.5-40.6	39.7	大井	202144110503	C2四　五	movie.html?race_id=202144110503	05443	ダ	1600	471	7	40.0
2021/09/22	曇	1	11	7	10	3.9	2	10	56.0	良	1:44.2	2.6	7-6-3-3	38.1-38.6	41.2	大井	202144092201	3歳　346万	movie.html?race_id=202144092201	05524	ダ	1600	464	-6	0.0
2021/09/09	雨	1	11	6	8	2.0	1	3	56.0	不	1:44.9	0.1	1-1-1-1	39.1-40.2	40.3	大井	202144090901	2011外国馬地方競	movie.html?race_id=202144090901	05342	ダ	1600	470	24	40.0
2021/05/22	曇	2	15	6	10	29.5	9	11	56.0	重	1:55.7	2.1	6-7-6-7	36.8-39.1	40.5	新潟	202104020502	3歳未勝利	202104020502	05429	ダ	1800	446	-6	0.0
2021/05/01	晴	1	12	7	9	125.8	10	3	56.0	稍	1:55.6	0.4	5-4-4-4	36.5-40.2	40.3	阪神	202109021101	3歳未勝利	202109021101	05429	ダ	1800	452	-10	130.0
2021/04/18	小雨	3	15	4	6	15.0	9	11	56.0	不	1:57.9	3.8	11-11-12-12	37.2-40.0	40.4	新潟	202104010403	3歳未勝利	202104010403	05525	ダ	1800	462	-6	0.0
2021/01/09	晴	2	16	7	13	10.2	6	13	56.0	良	1:30.2	3.6	6-10	34.9-39.0	42.1	中京	202107010202	3歳未勝利	202107010202	01163	ダ	1400	468	14	0.0
2020/10/31	晴	1	16	8	16	8.8	3	10	54.0	良	1:11.4	2.1	7-8	31.3-38.0	39.3	福島	202003030101	2歳未勝利	202003030101	01178	ダ	1150	454	0	0.0
2020/10/17	雨	4	16	4	8	6.9	4	3	55.0	稍	1:27.7	1.0	3-2	36.5-37.4	38.3	東京	202005040304	2歳新馬	202005040304	01102	ダ	1400	454	0	180.0
