	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198906010101	ダ	右	1200	晴	良	10:00	4歳以上300万下		1989-1-5	1	中山	1	4歳以上300万下	[抽](馬齢)	1	260	1	1	130	1	11	220	4	8.0	470.0	7.0	1-6	630	2																							12.6 - 10.8 - 11.7 - 12.8 - 13.6 - 13.7	12.6 - 23.4 - 35.1 - 47.9 - 61.5 - 75.2 (12.6-12.6)
198906010102	ダ	右	1800	晴	良	10:25	4歳未勝利		1989-1-5	1	中山	1	4歳未勝利	(馬齢)	1	180	1	1	100	1	4	160	3	8.0	130.0	2.0	1-4	960	4																							12.8 - 11.8 - 13.2 - 13.0 - 12.7 - 12.9 - 13.2 - 13.6 - 14.0	12.8 - 24.6 - 37.8 - 50.8 - 63.5 - 76.4 - 89.6 - 103.2 - 117.2 (12.8-12.8)
198906010103	ダ	右	1800	晴	良	10:50	4歳新馬		1989-1-5	1	中山	1	4歳新馬	(馬齢)	7	810	6	7	260	5	10	280	6	12.0	200.0	3.0	6-7	2890	12																							13.0 - 12.6 - 13.0 - 12.8 - 12.7 - 12.7 - 13.4 - 13.8 - 14.5	13.0 - 25.6 - 38.6 - 51.4 - 64.1 - 76.8 - 90.2 - 104.0 - 118.5 (13.0-13.0)
198906010104	ダ	右	1200	晴	良	11:15	4歳新馬		1989-1-5	1	中山	1	4歳新馬	(馬齢)	8	600	3	8	200	4	4	230	7	3.0	130.0	1.0	4-8	2000	12																							12.2 - 10.5 - 11.3 - 12.7 - 13.6 - 13.8	12.2 - 22.7 - 34.0 - 46.7 - 60.3 - 74.1 (12.2-12.2)
198906010105	ダ	右	1800	晴	良	11:40	4歳400万下		1989-1-5	1	中山	1	4歳400万下	(馬齢)	3	180	1	3	120	1	1	180	3				1-3	470	2																							13.0 - 11.7 - 13.0 - 13.2 - 12.6 - 12.6 - 13.2 - 14.0 - 13.5	13.0 - 24.7 - 37.7 - 50.9 - 63.5 - 76.1 - 89.3 - 103.3 - 116.8 (13.0-13.0)
198906010106	芝	右	2000	晴	良	12:40	4歳新馬		1989-1-5	1	中山	1	4歳新馬	(混)(馬齢)	8	2470	8	8	510	7	6	240	4	9.0	190.0	2.0	6-7	2000	9																							12.7 - 11.4 - 12.7 - 13.7 - 13.6 - 12.3 - 12.6 - 12.2 - 12.5 - 13.3	12.7 - 24.1 - 36.8 - 50.5 - 64.1 - 76.4 - 89.0 - 101.2 - 113.7 - 127.0 (12.7-12.7)
198906010107	芝	右	2000	晴	良	13:10	4歳新馬		1989-1-5	1	中山	1	4歳新馬	(混)(馬齢)	6	370	2	6	140	2	5	120	1	11.0	480.0	9.0	5-6	290	1																							12.9 - 12.4 - 13.6 - 14.2 - 13.5 - 12.1 - 12.2 - 12.3 - 12.1 - 12.3	12.9 - 25.3 - 38.9 - 53.1 - 66.6 - 78.7 - 90.9 - 103.2 - 115.3 - 127.6 (12.9-12.9)
198906010108	ダ	右	1800	晴	良	13:40	4歳以上400万下		1989-1-5	1	中山	1	4歳以上400万下	(混)(馬齢)	12	1070	4	12	260	5	15	150	2	6.0	130.0	1.0	6-8	1590	8																							13.1 - 11.7 - 13.2 - 13.2 - 12.4 - 12.4 - 12.9 - 13.0 - 13.0	13.1 - 24.8 - 38.0 - 51.2 - 63.6 - 76.0 - 88.9 - 101.9 - 114.9 (13.1-13.1)
198906010109	芝	右	1200	晴	良	14:15	フローラステークス 		1989-1-5	1	中山	1	4歳オープン	牝(別定)	6	170	1	6	100	1	1	120	2	4.0	480.0	8.0	1-6	280	1																							12.1 - 10.7 - 11.3 - 11.6 - 11.5 - 12.4	12.1 - 22.8 - 34.1 - 45.7 - 57.2 - 69.6 (12.1-12.1)
198906010110	ダ	右	2400	晴	良	14:50	成田特別 		1989-1-5	1	中山	1	4歳以上900万下	(別定)	9	1200	5	9	350	7	6	150	2	2.0	270.0	5.0	6-8	1350	6																							13.0 - 11.9 - 12.9 - 12.4 - 13.5 - 13.5 - 12.8 - 12.5 - 12.7 - 13.0 - 13.3 - 14.5	13.0 - 24.9 - 37.8 - 50.2 - 63.7 - 77.2 - 90.0 - 102.5 - 115.2 - 128.2 - 141.5 - 156.0 (13.0-13.0)
