	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198902010101	ダ	右	1700	晴	良	10:15	4歳以上オープン		1989-7-8	1	函館	1	4歳以上オープン	[抽](別定)	4	160	1	4	140	2	1	310	4	1-4	870	4																							7.4 - 12.2 - 12.7 - 13.3 - 13.4 - 12.9 - 12.9 - 12.9 - 12.6	7.4 - 19.6 - 32.3 - 45.6 - 59.0 - 71.9 - 84.8 - 97.7 - 110.3 (7.4-7.4)			
198902010102	ダ	右	1000	晴	良	10:45	3歳新馬		1989-7-8	1	函館	1	3歳新馬	(馬齢)	5	140	1	5	100	1	3	130	2	3-5	200	1																							12.6 - 10.8 - 11.8 - 12.8 - 13.2	12.6 - 23.4 - 35.2 - 48.0 - 61.2 (12.6-12.6)			
198902010103	芝	右	1200	晴	良	11:15	3歳新馬		1989-7-8	1	函館	1	3歳新馬	牝(馬齢)	3	370	3	3	190	2	2	410	5	2-3	1950	11																							12.4 - 11.2 - 11.2 - 12.4 - 12.7 - 12.4	12.4 - 23.6 - 34.8 - 47.2 - 59.9 - 72.3 (12.4-12.4)			
198902010104	ダ	右	1700	晴	良	11:45	4歳未勝利		1989-7-8	1	函館	1	4歳未勝利	(馬齢)	9	360	2	9	150	2	3	180	3	3-7	1120	3																							7.0 - 11.2 - 12.4 - 12.8 - 13.3 - 12.7 - 13.7 - 13.4 - 13.2	7.0 - 18.2 - 30.6 - 43.4 - 56.7 - 69.4 - 83.1 - 96.5 - 109.7 (7.0-7.0)	6.0	480.0	8.0
198902010105	ダ	右	1700	晴	良	12:45	4歳以上400万下		1989-7-8	1	函館	1	4歳以上400万下	(父)(別定)	1	370	3	1	170	2	3	160	1	1-3	780	4																							7.1 - 11.0 - 12.0 - 13.0 - 13.3 - 12.6 - 13.2 - 13.6 - 13.4	7.1 - 18.1 - 30.1 - 43.1 - 56.4 - 69.0 - 82.2 - 95.8 - 109.2 (7.1-7.1)			
198902010106	芝	右	1800	晴	良	13:15	4歳未勝利		1989-7-8	1	函館	1	4歳未勝利	(馬齢)	1	320	2	1	120	2	2	100	1	1-2	250	1																							12.2 - 11.4 - 12.2 - 12.5 - 12.1 - 12.2 - 12.1 - 12.4 - 12.3	12.2 - 23.6 - 35.8 - 48.3 - 60.4 - 72.6 - 84.7 - 97.1 - 109.4 (12.2-12.2)	11.0	290.0	7.0
198902010107	芝	右	1800	晴	良	13:50	4歳未勝利		1989-7-8	1	函館	1	4歳未勝利	(馬齢)	8	600	3	8	170	3	11	250	5	6-8	1960	10																							12.6 - 11.7 - 11.9 - 12.2 - 12.1 - 12.4 - 12.1 - 12.3 - 12.1	12.6 - 24.3 - 36.2 - 48.4 - 60.5 - 72.9 - 85.0 - 97.3 - 109.4 (12.6-12.6)	4.0	160.0	2.0
198902010108	ダ	右	1700	晴	良	14:25	オーロラ特別 		1989-7-8	1	函館	1	4歳以上900万下	(別定)	5	140	1	5	100	1	6	280	5	5-6	640	4																							6.9 - 11.0 - 11.8 - 12.2 - 12.5 - 12.4 - 12.8 - 13.5 - 13.7	6.9 - 17.9 - 29.7 - 41.9 - 54.4 - 66.8 - 79.6 - 93.1 - 106.8 (6.9-6.9)			
198902010109	芝	右	1200	晴	良	15:00	礼文特別 		1989-7-8	1	函館	1	4歳以上400万下	(別定)	2	1280	6	2	300	7	10	120	1	2-7	1100	5																							12.1 - 10.6 - 11.3 - 11.8 - 11.8 - 12.1	12.1 - 22.7 - 34.0 - 45.8 - 57.6 - 69.7 (12.1-12.1)	1.0	290.0	6.0
198902010110	芝	右	1800	晴	良	15:35	ポプラステークス 		1989-7-8	1	函館	1	4歳以上900万下	(別定)	3	610	3	3	180	2	6	240	4	3-6	1550	6																							12.4 - 11.4 - 12.0 - 12.6 - 12.5 - 12.0 - 11.8 - 11.7 - 11.9	12.4 - 23.8 - 35.8 - 48.4 - 60.9 - 72.9 - 84.7 - 96.4 - 108.3 (12.4-12.4)	7.0	670.0	8.0
198902010201	ダ	右	1000	晴	良	10:45	4歳以上700万下		1989-7-9	1	函館	2	4歳以上700万下	[抽](別定)	5	140	1	5	100	1	7	140	4	5-7	300	2																							13.0 - 11.3 - 11.9 - 12.6 - 12.7	13.0 - 24.3 - 36.2 - 48.8 - 61.5 (13.0-13.0)	8.0	120.0	3.0
198902010202	芝	右	1000	晴	良	11:15	3歳新馬		1989-7-9	1	函館	2	3歳新馬	(馬齢)	3	1040	5	3	350	4	5	180	3	3-5	1330	8																							12.6 - 11.5 - 12.4 - 12.0 - 11.7	12.6 - 24.1 - 36.5 - 48.5 - 60.2 (12.6-12.6)			
198902010203	芝	右	1200	晴	良	11:45	3歳新馬		1989-7-9	1	函館	2	3歳新馬	(混)(馬齢)	2	1240	4	2	310	4	3	130	1	2-3	1360	6																							12.6 - 11.0 - 11.3 - 12.0 - 12.6 - 12.8	12.6 - 23.6 - 34.9 - 46.9 - 59.5 - 72.3 (12.6-12.6)			
198902010204	ダ	右	1000	晴	良	12:45	4歳未勝利		1989-7-9	1	函館	2	4歳未勝利	(馬齢)	1	460	3	1	140	3	9	110	1	1-8	350	2																							12.8 - 11.4 - 12.3 - 13.1 - 13.0	12.8 - 24.2 - 36.5 - 49.6 - 62.6 (12.8-12.8)	8.0	260.0	6.0
198902010205	ダ	右	1700	曇	良	13:15	4歳以上400万下		1989-7-9	1	函館	2	4歳以上400万下	(別定)	3	150	1	3	120	1	5	240	4	3-5	470	3																							7.1 - 11.2 - 11.5 - 12.3 - 12.8 - 12.9 - 13.6 - 13.7 - 13.5	7.1 - 18.3 - 29.8 - 42.1 - 54.9 - 67.8 - 81.4 - 95.1 - 108.6 (7.1-7.1)			
198902010206	ダ	右	1700	曇	良	13:50	4歳未勝利		1989-7-9	1	函館	2	4歳未勝利	牝(馬齢)	2	550	3	2	140	2	8	140	1	2-7	700	3																							7.2 - 11.0 - 11.8 - 12.3 - 13.2 - 13.5 - 13.8 - 13.9 - 13.3	7.2 - 18.2 - 30.0 - 42.3 - 55.5 - 69.0 - 82.8 - 96.7 - 110.0 (7.2-7.2)	7.0	340.0	8.0
198902010301	ダ	右	1000	晴	良	10:45	3歳新馬		1989-7-15	1	函館	3	3歳新馬	(馬齢)	2	2320	5	2	700	7	4	160	1	2-4	2460	8																							12.7 - 11.0 - 12.4 - 13.7 - 13.1	12.7 - 23.7 - 36.1 - 49.8 - 62.9 (12.7-12.7)			
198902010302	芝	右	1200	晴	良	11:15	3歳未勝利		1989-7-15	1	函館	3	3歳未勝利	(混)(馬齢)	2	540	3	2	140	4	1	120	1	1-2	540	2																							12.0 - 10.7 - 11.0 - 11.9 - 12.6 - 13.1	12.0 - 22.7 - 33.7 - 45.6 - 58.2 - 71.3 (12.0-12.0)	4.0	130.0	2.0
198902010303	ダ	右	1000	晴	良	11:45	4歳未勝利		1989-7-15	1	函館	3	4歳未勝利	(混)(馬齢)	1	510	2	1	200	3	3	480	8	1-3	9550	22																							12.5 - 10.9 - 12.2 - 13.1 - 13.2	12.5 - 23.4 - 35.6 - 48.7 - 61.9 (12.5-12.5)	4.0	160.0	2.0
198902010304	ダ	右	1700	晴	良	12:45	4歳未勝利		1989-7-15	1	函館	3	4歳未勝利	(馬齢)	3	760	3	3	150	3	6	100	1	3-5	370	2																							7.3 - 11.5 - 12.2 - 12.6 - 13.3 - 13.2 - 13.6 - 13.8 - 13.6	7.3 - 18.8 - 31.0 - 43.6 - 56.9 - 70.1 - 83.7 - 97.5 - 111.1 (7.3-7.3)	5.0	170.0	4.0
198902010305	芝	右	1800	晴	良	13:15	4歳未勝利		1989-7-15	1	函館	3	4歳未勝利	(馬齢)	10	640	2	10	240	3	2	560	6	2-7	8470	18																							12.9 - 11.6 - 11.8 - 12.2 - 12.2 - 12.1 - 12.4 - 12.7 - 12.2	12.9 - 24.5 - 36.3 - 48.5 - 60.7 - 72.8 - 85.2 - 97.9 - 110.1 (12.9-12.9)	1.0	370.0	5.0
198902010306	芝	右	1800	晴	良	13:50	4歳未勝利		1989-7-15	1	函館	3	4歳未勝利	(馬齢)	3	340	1	3	150	2	12	150	1	3-8	630	1																							12.6 - 11.7 - 11.8 - 12.3 - 12.2 - 11.7 - 12.0 - 13.0 - 13.1	12.6 - 24.3 - 36.1 - 48.4 - 60.6 - 72.3 - 84.3 - 97.3 - 110.4 (12.6-12.6)	1.0	740.0	10.0
198902010307	芝	右	1800	晴	良	14:25	藻岩山特別 		1989-7-15	1	函館	3	4歳以上400万下	牝(別定)	6	350	2	6	120	2	7	140	3	6-7	1430	8																							12.5 - 11.4 - 12.0 - 12.0 - 12.2 - 12.3 - 12.0 - 12.3 - 12.0	12.5 - 23.9 - 35.9 - 47.9 - 60.1 - 72.4 - 84.4 - 96.7 - 108.7 (12.5-12.5)	5.0	110.0	1.0
198902010308	芝	右	2000	晴	良	15:00	知床特別 		1989-7-15	1	函館	3	4歳以上400万下	(別定)	1	2070	6	1	410	7	2	120	1	1-2	3090	8																							12.9 - 11.5 - 12.2 - 12.3 - 12.4 - 12.3 - 11.7 - 12.1 - 12.6 - 12.0	12.9 - 24.4 - 36.6 - 48.9 - 61.3 - 73.6 - 85.3 - 97.4 - 110.0 - 122.0 (12.9-12.9)	9.0	260.0	5.0
198902010309	芝	右	1800	晴	良	15:35	STV賞 		1989-7-15	1	函館	3	4歳以上900万下	(ハンデ)	6	910	5	6	230	5	8	130	1	6-8	1620	7																							12.5 - 11.6 - 11.8 - 11.9 - 11.9 - 11.8 - 12.0 - 12.5 - 12.4	12.5 - 24.1 - 35.9 - 47.8 - 59.7 - 71.5 - 83.5 - 96.0 - 108.4 (12.5-12.5)	2.0	170.0	3.0
198902010310	ダ	右	1700	晴	良	16:10	4歳以上400万下		1989-7-15	1	函館	3	4歳以上400万下	(別定)	8	260	1	8	150	1	3	180	3	3-7	600	2																							7.1 - 11.6 - 11.7 - 12.2 - 12.8 - 12.7 - 13.5 - 14.1 - 13.5	7.1 - 18.7 - 30.4 - 42.6 - 55.4 - 68.1 - 81.6 - 95.7 - 109.2 (7.1-7.1)	9.0	160.0	2.0
198902010401	芝	右	1000	曇	良	10:15	3歳新馬		1989-7-16	1	函館	4	3歳新馬	(馬齢)	4	330	2	4	130	3	1	100	1	1-4	150	1																							12.5 - 11.3 - 11.8 - 12.2 - 11.8	12.5 - 23.8 - 35.6 - 47.8 - 59.6 (12.5-12.5)			
198902010402	芝	右	1200	晴	良	10:45	3歳新馬		1989-7-16	1	函館	4	3歳新馬	(馬齢)	3	220	2	3	140	2	1	350	4	1-3	970	5																							12.6 - 10.9 - 11.3 - 12.2 - 12.4 - 12.9	12.6 - 23.5 - 34.8 - 47.0 - 59.4 - 72.3 (12.6-12.6)			
198902010403	ダ	右	1700	晴	良	11:15	4歳未勝利		1989-7-16	1	函館	4	4歳未勝利	(父)(馬齢)	9	310	2	9	110	2	7	150	4	7-8	1490	6																							7.2 - 11.3 - 12.3 - 12.8 - 13.1 - 12.7 - 13.2 - 13.6 - 14.0	7.2 - 18.5 - 30.8 - 43.6 - 56.7 - 69.4 - 82.6 - 96.2 - 110.2 (7.2-7.2)	2.0	100.0	1.0
198902010404	ダ	右	1000	晴	良	11:45	4歳未勝利		1989-7-16	1	函館	4	4歳未勝利	(馬齢)	10	190	1	10	130	1	3	260	4	3-7	940	3																							12.6 - 11.0 - 12.4 - 13.3 - 13.0	12.6 - 23.6 - 36.0 - 49.3 - 62.3 (12.6-12.6)	5.0	850.0	10.0
198902010405	ダ	右	1000	晴	良	12:45	4歳以上400万下		1989-7-16	1	函館	4	4歳以上400万下	(別定)	5	630	3	5	140	3	6	110	1	5-6	530	2																							12.6 - 10.9 - 12.0 - 12.8 - 13.0	12.6 - 23.5 - 35.5 - 48.3 - 61.3 (12.6-12.6)	3.0	200.0	6.0
198902010406	ダ	右	1000	晴	良	13:15	4歳以上400万下		1989-7-16	1	函館	4	4歳以上400万下	(別定)	1	480	3	1	230	3	7	620	7	1-7	7340	17																							12.6 - 10.8 - 12.1 - 13.1 - 13.0	12.6 - 23.4 - 35.5 - 48.6 - 61.6 (12.6-12.6)	3.0	570.0	6.0
198902010407	芝	右	2000	晴	良	13:50	日高特別 		1989-7-16	1	函館	4	4歳以上900万下	(混)(別定)	5	260	1	5	210	2	4	520	5	4-5	890	6																							12.8 - 11.4 - 12.3 - 12.2 - 12.0 - 12.0 - 11.8 - 12.0 - 11.7 - 12.1	12.8 - 24.2 - 36.5 - 48.7 - 60.7 - 72.7 - 84.5 - 96.5 - 108.2 - 120.3 (12.8-12.8)			
198902010408	芝	右	1200	晴	良	14:25	4歳以上400万下		1989-7-16	1	函館	4	4歳以上400万下	(別定)	8	460	2	8	140	2	11	210	6	7-8	900	4																							12.0 - 10.7 - 11.0 - 12.0 - 12.4 - 12.6	12.0 - 22.7 - 33.7 - 45.7 - 58.1 - 70.7 (12.0-12.0)	7.0	130.0	1.0
