	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198901010101	ダ	右	1700	晴	良	10:40	4歳以上オープン		1989-6-10	1	札幌	1	4歳以上オープン	[抽](別定)	1	350	2	1	130	1	5	130	2	1-5	270	1																							7.4 - 11.3 - 12.4 - 12.1 - 12.2 - 12.1 - 12.7 - 13.3 - 13.2	7.4 - 18.7 - 31.1 - 43.2 - 55.4 - 67.5 - 80.2 - 93.5 - 106.7 (7.4-7.4)			
198901010102	ダ	右	1700	晴	良	11:10	4歳未勝利		1989-6-10	1	札幌	1	4歳未勝利	(馬齢)	1	270	2	1	140	2	9	350	5	1-7	2290	9																							7.1 - 11.1 - 12.1 - 12.3 - 12.0 - 12.3 - 13.3 - 13.9 - 13.7	7.1 - 18.2 - 30.3 - 42.6 - 54.6 - 66.9 - 80.2 - 94.1 - 107.8 (7.1-7.1)	3.0	210.0	3.0
198901010103	ダ	右	1000	晴	良	11:40	3歳新馬		1989-6-10	1	札幌	1	3歳新馬	(混)(馬齢)	8	170	1	8	110	1	3	110	2	3-8	190	1																							12.2 - 10.7 - 12.0 - 12.6 - 12.8	12.2 - 22.9 - 34.9 - 47.5 - 60.3 (12.2-12.2)	6.0	190.0	6.0
198901010104	ダ	右	1700	晴	良	12:10	4歳未勝利		1989-6-10	1	札幌	1	4歳未勝利	(馬齢)	3	480	3	3	150	1	9	240	5	3-7	530	1																							7.3 - 11.0 - 12.1 - 12.1 - 12.4 - 12.6 - 13.4 - 13.9 - 13.7	7.3 - 18.3 - 30.4 - 42.5 - 54.9 - 67.5 - 80.9 - 94.8 - 108.5 (7.3-7.3)	5.0	220.0	4.0
198901010105	ダ	右	1000	晴	良	13:10	4歳未勝利		1989-6-10	1	札幌	1	4歳未勝利	(馬齢)	10	180	1	10	110	1	11	190	4	7-8	530	2																							12.2 - 10.7 - 11.9 - 12.7 - 12.8	12.2 - 22.9 - 34.8 - 47.5 - 60.3 (12.2-12.2)	8.0	230.0	5.0
198901010106	ダ	右	1000	晴	良	13:40	4歳未勝利		1989-6-10	1	札幌	1	4歳未勝利	(馬齢)	12	340	2	12	140	2	1	190	3	1-8	860	3																							12.1 - 10.7 - 11.8 - 12.6 - 12.6	12.1 - 22.8 - 34.6 - 47.2 - 59.8 (12.1-12.1)	7.0	580.0	9.0
198901010107	ダ	右	1700	晴	良	14:10	4歳以上400万下		1989-6-10	1	札幌	1	4歳以上400万下	(馬齢)	7	1160	5	7	340	6	5	170	3	5-6	1130	5																							7.2 - 11.1 - 11.8 - 12.1 - 12.3 - 12.2 - 12.8 - 13.6 - 13.4	7.2 - 18.3 - 30.1 - 42.2 - 54.5 - 66.7 - 79.5 - 93.1 - 106.5 (7.2-7.2)	6.0	140.0	1.0
198901010108	ダ	右	1700	晴	良	14:40	千歳特別 		1989-6-10	1	札幌	1	4歳以上400万下	(馬齢)	11	420	2	11	140	2	10	110	1	7-8	330	1																							7.2 - 11.4 - 12.0 - 12.1 - 12.0 - 12.1 - 12.7 - 13.3 - 13.6	7.2 - 18.6 - 30.6 - 42.7 - 54.7 - 66.8 - 79.5 - 92.8 - 106.4 (7.2-7.2)	12.0	210.0	5.0
198901010109	ダ	右	1000	晴	良	15:15	石狩特別 		1989-6-10	1	札幌	1	4歳以上400万下	(馬齢)	11	170	1	11	130	1	8	400	9	6-8	790	3																							12.2 - 10.6 - 11.3 - 12.6 - 12.8	12.2 - 22.8 - 34.1 - 46.7 - 59.5 (12.2-12.2)	12.0	220.0	4.0
198901010110	ダ	右	1700	晴	良	15:50	室蘭特別 		1989-6-10	1	札幌	1	4歳以上900万下	(別定)	9	230	1	9	130	1	3	170	3	3-7	620	2																							7.1 - 10.8 - 11.5 - 12.0 - 11.7 - 12.0 - 12.9 - 13.5 - 13.4	7.1 - 17.9 - 29.4 - 41.4 - 53.1 - 65.1 - 78.0 - 91.5 - 104.9 (7.1-7.1)	8.0	270.0	5.0
198901010111	ダ	右	1700	晴	良	16:20	4歳以上400万下		1989-6-10	1	札幌	1	4歳以上400万下	牝(馬齢)	2	870	6	2	380	8	3	190	2	2-3	1550	10																							7.0 - 11.1 - 11.7 - 11.9 - 12.3 - 12.8 - 13.2 - 13.7 - 13.5	7.0 - 18.1 - 29.8 - 41.7 - 54.0 - 66.8 - 80.0 - 93.7 - 107.2 (7.0-7.0)	7.0	330.0	6.0
198901010201	ダ	右	1000	晴	良	10:40	4歳以上300万下		1989-6-11	1	札幌	2	4歳以上300万下	[抽](別定)	1	380	2	1	140	2	7	140	1	1-7	580	2																							12.5 - 11.3 - 11.9 - 12.5 - 12.3	12.5 - 23.8 - 35.7 - 48.2 - 60.5 (12.5-12.5)			
198901010202	ダ	右	1000	晴	良	11:10	3歳新馬		1989-6-11	1	札幌	2	3歳新馬	(馬齢)	1	4570	10	1	860	10	8	320	5	1-7	12130	24																							12.5 - 11.0 - 11.8 - 12.9 - 13.2	12.5 - 23.5 - 35.3 - 48.2 - 61.4 (12.5-12.5)	6.0	170.0	3.0
198901010203	ダ	右	1700	晴	良	11:40	4歳未勝利		1989-6-11	1	札幌	2	4歳未勝利	(馬齢)	9	2380	8	9	350	8	12	120	1	7-8	650	2																							6.9 - 10.7 - 11.5 - 12.3 - 12.5 - 12.8 - 12.9 - 13.7 - 13.8	6.9 - 17.6 - 29.1 - 41.4 - 53.9 - 66.7 - 79.6 - 93.3 - 107.1 (6.9-6.9)	7.0	690.0	11.0
198901010204	ダ	右	1000	晴	良	12:10	4歳未勝利		1989-6-11	1	札幌	2	4歳未勝利	(馬齢)	2	320	1	2	130	1	9	130	2	2-7	520	1																							12.3 - 10.9 - 11.7 - 12.3 - 12.5	12.3 - 23.2 - 34.9 - 47.2 - 59.7 (12.3-12.3)	1.0	150.0	3.0
198901010205	ダ	右	1700	晴	良	13:10	4歳未勝利		1989-6-11	1	札幌	2	4歳未勝利	(馬齢)	7	530	2	7	190	2	9	1,210	10	6-7	3660	13																							7.0 - 10.8 - 11.7 - 12.0 - 12.3 - 12.5 - 13.4 - 14.0 - 13.3	7.0 - 17.8 - 29.5 - 41.5 - 53.8 - 66.3 - 79.7 - 93.7 - 107.0 (7.0-7.0)	10.0	550.0	7.0
198901010206	ダ	右	2400	晴	良	13:40	4歳以上400万下		1989-6-11	1	札幌	2	4歳以上400万下	(別定)	9	2030	8	9	560	8	5	480	7	5-7	3010	11																							12.9 - 11.7 - 12.6 - 12.4 - 12.5 - 13.1 - 13.1 - 12.8 - 12.5 - 13.1 - 13.3 - 13.5	12.9 - 24.6 - 37.2 - 49.6 - 62.1 - 75.2 - 88.3 - 101.1 - 113.6 - 126.7 - 140.0 - 153.5 (12.9-12.9)	11.0	200.0	4.0
198901010207	ダ	右	1000	晴	良	14:10	4歳以上400万下		1989-6-11	1	札幌	2	4歳以上400万下	(馬齢)	2	430	3	2	180	4	12	290	5	2-8	2970	11																							12.1 - 11.0 - 11.6 - 12.3 - 12.7	12.1 - 23.1 - 34.7 - 47.0 - 59.7 (12.1-12.1)	10.0	170.0	1.0
198901010208	ダ	右	1700	晴	良	14:40	ニセコ特別 		1989-6-11	1	札幌	2	4歳以上400万下	(混)(馬齢)	4	860	4	4	290	4	3	260	3	3-4	5130	21																							6.9 - 11.0 - 12.1 - 12.5 - 12.3 - 12.1 - 12.8 - 13.5 - 13.2	6.9 - 17.9 - 30.0 - 42.5 - 54.8 - 66.9 - 79.7 - 93.2 - 106.4 (6.9-6.9)	12.0	720.0	10.0
198901010209	ダ	右	1700	晴	良	15:15	北斗賞 		1989-6-11	1	札幌	2	4歳以上900万下	(別定)	7	130	1	7	110	1	5	170	2	5-6	340	1																							6.8 - 11.3 - 11.6 - 12.4 - 12.0 - 12.0 - 12.6 - 13.2 - 13.1	6.8 - 18.1 - 29.7 - 42.1 - 54.1 - 66.1 - 78.7 - 91.9 - 105.0 (6.8-6.8)	12.0	520.0	11.0
198901010210	ダ	右	1700	晴	良	15:50	札幌日経賞 		1989-6-11	1	札幌	2	4歳以上オープン	(混)(別定)	8	590	3	8	200	4	7	120	1	7-7	690	3																							7.0 - 10.8 - 11.1 - 11.9 - 12.4 - 11.9 - 12.7 - 12.9 - 12.6	7.0 - 17.8 - 28.9 - 40.8 - 53.2 - 65.1 - 77.8 - 90.7 - 103.3 (7.0-7.0)	10.0	210.0	5.0
198901010301	ダ	右	1700	曇	良	10:45	4歳以上700万下		1989-6-17	1	札幌	3	4歳以上700万下	[抽](別定)	11	850	4	11	280	4	10	240	3	8-8	3110	13																							7.2 - 11.0 - 11.9 - 12.6 - 13.0 - 12.7 - 13.1 - 13.3 - 12.7	7.2 - 18.2 - 30.1 - 42.7 - 55.7 - 68.4 - 81.5 - 94.8 - 107.5 (7.2-7.2)	4.0	200.0	2.0
198901010302	ダ	右	1000	曇	良	11:15	3歳新馬		1989-6-17	1	札幌	3	3歳新馬	(馬齢)	2	790	4	2	180	3	7	120	1	2-7	890	5																							12.6 - 11.1 - 11.7 - 12.1 - 13.0	12.6 - 23.7 - 35.4 - 47.5 - 60.5 (12.6-12.6)	8.0	390.0	6.0
198901010303	ダ	右	1700	曇	良	11:45	4歳未勝利		1989-6-17	1	札幌	3	4歳未勝利	(馬齢)	11	270	1	11	120	1	7	200	4	6-8	470	2																							6.9 - 10.8 - 12.0 - 12.8 - 12.9 - 12.6 - 12.5 - 12.6 - 12.7	6.9 - 17.7 - 29.7 - 42.5 - 55.4 - 68.0 - 80.5 - 93.1 - 105.8 (6.9-6.9)	12.0	190.0	3.0
198901010304	ダ	右	1700	曇	良	12:45	4歳未勝利		1989-6-17	1	札幌	3	4歳未勝利	牝(馬齢)	2	360	3	2	200	3	11	120	1	2-8	720	2																							7.0 - 10.8 - 11.8 - 12.5 - 12.4 - 12.3 - 12.5 - 12.7 - 13.1	7.0 - 17.8 - 29.6 - 42.1 - 54.5 - 66.8 - 79.3 - 92.0 - 105.1 (7.0-7.0)	12.0	1,430	12.0
198901010305	ダ	右	1000	曇	良	13:15	4歳未勝利		1989-6-17	1	札幌	3	4歳未勝利	(馬齢)	12	270	2	12	120	1	9	140	2	7-8	220	1																							12.8 - 11.4 - 11.7 - 12.2 - 12.1	12.8 - 24.2 - 35.9 - 48.1 - 60.2 (12.8-12.8)	1.0	650	10.0
198901010306	ダ	右	1000	曇	良	13:50	4歳未勝利		1989-6-17	1	札幌	3	4歳未勝利	(馬齢)	1	1350	6	1	390	7	6	140	1	1-5	2370	8																							12.6 - 10.9 - 11.7 - 12.1 - 12.4	12.6 - 23.5 - 35.2 - 47.3 - 59.7 (12.6-12.6)	4.0	430	8.0
198901010307	ダ	右	1700	曇	良	14:25	恵庭岳特別 		1989-6-17	1	札幌	3	4歳以上400万下	(別定)	2	300	1	2	150	2	4	480	7	2-4	3840	16																							6.8 - 10.8 - 11.2 - 12.0 - 12.4 - 13.0 - 13.0 - 12.6 - 12.4	6.8 - 17.6 - 28.8 - 40.8 - 53.2 - 66.2 - 79.2 - 91.8 - 104.2 (6.8-6.8)	7.0	370	6.0
