waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017106237	グラナリー	牝4	55.0	01154	松若	01144	池添学	508	0
2	2	2017102914	シンシティ	牝4	55.0	01114	田中健	01033	木原	474	-2
3	3	2017101830	カバジェーロ	牡4	57.0	01157	鮫島駿	01154	橋口	490	-4
4	4	2014105066	ラホーヤノキセキ	牡7	57.0	00732	幸	01083	松永昌	500	-6
5	5	2017103170	メイショウヒバリ	牝4	55.0	01115	浜中	01099	本田	470	-2
5	6	2016106381	アスカノダイチ	牡5	57.0	01018	和田竜	01003	川村	510	-16
6	7	2018110093	フリード	牝3	52.0	01178	斎藤	01028	西園	506	6
6	8	2016100844	アオイツヤヒメ	牝5	55.0	01187	永島	01135	高橋康	484	2
7	9	2016106060	ヘルメット	牝5	55.0	01126	松山	01066	岡田	520	6
7	10	2014110107	アスタースウィング	牡7	57.0	01116	藤岡康	01039	中竹	524	0
8	11	2017102514	ジョーフォレスト	牡4	57.0	01174	岩田望	01110	清水久	494	-2
8	12	2017101535	ジャスパーイーグル	牡4	57.0	01165	森裕	00427	森	494	-2
