日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/03/20	曇	10	8	5	5	49.3	6	5	54.0	不	1:22.1	0.8	8-8-8-7	0.0-38.6	37.8	水沢	202236032010	B1	movie.html?race_id=202236032010	05382	陶文峰	ダ	1300	497	9	3.3
2022/03/13	雨	9	12	6	7	164.9	12	9	54.0	重	1:31.4	2.7	10-10-11-12	0.0-39.5	41.2	水沢	202236031309	見たい景色がここにあ	movie.html?race_id=202236031309	05591	塚本涼人	ダ	1400	488	1	0.0
2021/12/23	晴	9	9	1	1	78.9	8	6	52.0	稍	1:33.3	1.4	6-7-6	0.0-40.0	39.9	名古屋	202148122309	B6組	movie.html?race_id=202148122309	a0487	塚本征吾	ダ	1400	487	2	0.0
2021/12/10	晴	10	10	6	6	75.7	7	10	54.0	重	1:51.0	4.8	2-3-10	0.0-41.4	45.6	名古屋	202148121010	長芋賞	movie.html?race_id=202148121010	05171	岡部誠	ダ	1600	485	-1	0.0
2021/12/02	晴	10	9	6	6	33.3	5	7	54.0	重	1:32.9	3.7	6-7-7	0.0-37.7	39.9	名古屋	202148120210	B6組	movie.html?race_id=202148120210	05489	今井貴大	ダ	1400	486	2	0.0
2021/11/18	晴	8	12	6	8	44.1	8	7	54.0	良	1:46.1	1.4	8-8-4	0.0-39.1	39.7	名古屋	202148111808	うろこ雲特別	movie.html?race_id=202148111808	05053	丸野勝虎	ダ	1600	484	1	0.0
2021/11/04	晴	10	11	8	10	21.5	7	10	54.0	良	1:32.9	2.8	7-7-5	0.0-39.7	41.4	名古屋	202148110410	B6組	movie.html?race_id=202148110410	05171	岡部誠	ダ	1400	483	-2	0.0
2021/10/22	晴	9	7	7	7	2.8	1	4	54.0	良	1:45.7	1.8	3-2-2	0.0-39.0	40.5	名古屋	202148102209	芋の露賞	movie.html?race_id=202148102209	05053	丸野勝虎	ダ	1600	485	5	4.3
2021/10/15	晴	10	9	8	9	9.3	4	4	54.0	良	1:45.5	1.1	3-2-2	0.0-40.4	41.4	名古屋	202148101510	B6組	movie.html?race_id=202148101510	05171	岡部誠	ダ	1600	480	1	4.3
2021/10/01	曇	7	9	4	4	6.1	4	1	54.0	良	1:31.4	-0.4	2-1-1	0.0-40.0	40.0	名古屋	202148100107	C3組	movie.html?race_id=202148100107	05171	岡部誠	ダ	1400	479	-3	32.0
2021/09/17	雨	8	8	1	1	6.1	3	7	54.0	稍	1:33.1	1.2	3-3-3	0.0-40.6	41.1	名古屋	202148091708	C2組	movie.html?race_id=202148091708	05171	岡部誠	ダ	1400	482	2	0.0
2021/09/03	雨	12	12	3	3	7.1	4	10	54.0	稍	1:48.6	3.3	5-5-5	0.0-39.6	42.5	名古屋	202148090312	鳴沢の滝特別	movie.html?race_id=202148090312	05171	岡部誠	ダ	1600	480	2	0.0
2021/08/19	雨	7	10	5	5	2.5	1	1	54.0	不	1:30.1	-0.4	3-4-3	0.0-39.2	38.9	名古屋	202148081907	しのに感謝!初グラン	movie.html?race_id=202148081907	05171	岡部誠	ダ	1400	478	6	32.0
2021/08/04	晴	12	11	4	4	4.8	2	3	54.0	良	1:31.8	0.4	2-2-2	0.0-39.3	39.6	名古屋	202148080412	大千瀬川特別	movie.html?race_id=202148080412	05171	岡部誠	ダ	1400	472	7	7.2
2021/07/22	晴	7	8	4	4	3.2	3	4	54.0	良	1:32.1	1.2	2-2-2	0.0-40.0	40.9	名古屋	202148072207	C10組	movie.html?race_id=202148072207	05171	岡部誠	ダ	1400	465	-8	3.8
2021/07/08	雨	12	10	3	3	5.1	3	3	51.0	不	1:46.7	1.6	3-2-2	0.0-40.5	41.6	名古屋	202148070812	猿渡川特別	movie.html?race_id=202148070812	a0487	塚本征吾	ダ	1600	473	0	7.2
2021/06/30	曇	3	10	4	4	2.0	1	1	54.0	良	1:32.4	-0.4	3-2-1	0.0-40.5	40.4	名古屋	202148063003	C16組	movie.html?race_id=202148063003	05171	岡部誠	ダ	1400	473	1	32.0
2021/06/15	晴	4	11	1	1	2.8	2	2	54.0	良	1:32.4	1.4	1-1-1	0.0-40.8	42.2	名古屋	202148061504	C16組	movie.html?race_id=202148061504	05171	岡部誠	ダ	1400	472	2	10.2
2021/06/02	曇	6	11	6	6	3.1	2	3	54.0	良	1:33.3	0.7	2-2-2	0.0-40.0	40.7	名古屋	202148060206	タカふぁんとにかく馬	movie.html?race_id=202148060206	05171	岡部誠	ダ	1400	470	2	5.8
2021/01/20		1	0	7	7				55.0							笠松	202147012001	サラ系C13・16組	movie.html?race_id=202147012001	05582	水野翔	ダ	1400	計不		0.0
2021/01/07	曇	4	9	2	2	3.6	2	2	54.0	良	1:29.8	0.1	1-1-1	0.0-39.3	39.4	笠松	202147010704	その声が、心を熱くす	movie.html?race_id=202147010704	05582	水野翔	ダ	1400	468	0	8.1
