rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		キタノマナザシ	牝3	52.0		仲原大生	1:15.2		1-1	38.8	1.1	1	476	6		山中静治		山際辰夫	30.0
2	1	1		キタサンレイワ	牝3	53.0		小野楓馬	1:16.7	7.0	3-3	39.0	10.2	2	498	-4		桧森邦夫		（有）大野商事	8.4
3	6	6		ルージュクィーン	牝3	54.0		落合玄太	1:17.2	2.1/2	10-8	37.7	12.7	3	418	-2		斉藤正弘		横田知朗	6.3
4	6	7		クラサンムーン	牝4	54.0		五十嵐冬	1:17.2	クビ	4-4	39.3	92.6	9	432	-4		堂山芳則		倉見利弘	4.2
5	8	11		エクソルシスタ	牝3	54.0		井上俊彦	1:17.2	ハナ	2-2	40.0	17.5	4	466	-2		米川伸也		（有）ＮＯ．９ホー	2.1
6	4	4		パッションピーチ	牝3	54.0		桑村真明	1:17.4	1.0	7-6	38.8	41.9	6	404	-2		沼澤英知		宮澤健	
7	3	3		オーゴンフェアリー	牝3	54.0		亀井洋司	1:17.8	2.0	11-11	37.9	20.9	5	442	4		谷口常信		大野洋子	
8	7	9		イルソーニョ	牝3	54.0		坂下秀樹	1:18.0	1.0	6-7	39.7	42.2	7	430	0		秋田大助		三岡陽	
9	7	8		セイリュウカフェ	セ7	56.0		黒澤愛斗	1:18.2	1.0	8-8	39.5	186.7	11	462	0		村上正和		須貝廣次	
10	2	2		ヒャクセンレンマ	牝3	54.0		松井伸也	1:18.4	1.0	5-5	40.2	54.4	8	422	0		石本孝博		原大栄	
11	5	5		ペンデュラム	牝6	54.0		阪野学	1:19.2	4.0	9-10	40.2	166.2	10	492	-2		安田武広		門別敏朗	
