rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		アスマスティーブ	セ4	57.0		山本政聡	1:24.0		6-6-5-4	39.2	1.9	1	454	-3		橘友和		湯澤寛	40.0
2	6	6		ゴーゴーレインボー	牝4	54.0		山本聡哉	1:24.0	クビ	3-3-3-2	39.7	13.9	5	453	4		三野宮通		星加浩一	14.0
3	4	4		ヤマニンゼーレ	牡8	57.0		高橋悠里	1:24.2	3/4	7-7-7-6	39.1	8.0	3	515	-6		伊藤和忍		土井久美子	8.0
4	7	7		ハイパーチャージ	セ12	56.0		菅原辰徳	1:24.2	ハナ	8-8-8-8	38.8	36.9	8	497	-9		新田守		高橋敏英	4.0
5	1	1		メトリカ	牝4	54.0		木村暁	1:24.8	4.0	1-1-1-1	40.9	31.4	7	434	-2		及川良春		岩渕瑞生	2.0
6	3	3		アントルラッセ	牝5	55.0		坂口裕一	1:24.9	1/2	2-2-2-3	40.9	8.6	4	434	-2		菅原右吉		（有）下河辺牧場	
7	7	8		コンバットパンチ	牡8	56.0		塚本涼人	1:25.1	1.1/2	9-9-9-9	39.6	130.5	10	495	2		三野宮通		（株）アプエンテ	
8	2	2		エアリエル	牝4	54.0		岩本怜	1:25.2	クビ	5-4-6-7	40.6	18.3	6	437	-3		菅原右吉		（有）下河辺牧場	
9	8	9		ナインシュヴァハ	牝6	54.0		南郷家全	1:25.2	クビ	10-10-10-10	38.7	91.9	9	398	2		佐藤敏彦		尾高正英	
10	8	10		アブシンス	牝6	55.0		村上忍	1:25.5	2.0	4-5-4-5	41.1	3.5	2	462	-4		村上実		佐々木寛明	
