rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	6		ディストピアーナ	牝2	54.0		山本聡紀	1:15.5		1-3-2	39.0	35.6	9	448	2		渋谷信博		小沼一成	160.0
2	2	2		キャッスルトップ	牡2	55.0		仲野光馬	1:15.5	ハナ	2-1-1	39.1	69.7	11	465	8		渋谷信博		城市公	64.0
3	1	1		ジャイマオウリボン	牝2	54.0		岡村健司	1:16.0	2.1/2	6-6-5	38.7	17.8	7	452	3		伊藤滋規		田中大	40.0
4	8	11		ルイズマキアート	牡2	55.0		加藤和博	1:16.3	1.1/2	7-8-8	38.7	7.4	4	481	1		山越光		人見塁	24.0
5	5	5		シャオイーシャオ	牝2	54.0		本田正重	1:16.4	1/2	3-2-3	39.9	3.1	1	448	16		山下貴之		吉田勝己	16.0
6	6	7		デイズオブグレイス	牝2	54.0		張田昂	1:16.7	1.1/2	4-4-4	39.9	10.8	6	446	-2		稲益貴弘		（有）ベターエステ	
7	7	10		ハピネスマインド	牝2	54.0		庄司大輔	1:16.7	ハナ	5-5-6	39.4	5.5	3	434	-5		矢内博		石井智	
8	3	3		ソルジャー	牡2	55.0		左海誠二	1:16.8	1/2	9-7-7	39.4	8.0	5	455	-11		小久保智		ＨｉｍＲｏｃｋＲ	
9	6	8		テンポラーレ	牡2	55.0		森泰斗	1:17.0	1.1/2	8-9-9	38.9	4.1	2	505	5		山中尊徳		（株）ロマンス	
10	4	4		ミックスベリー	牝2	54.0		本橋孝太	1:17.3	1.1/2	11-11-10	38.8	43.1	10	407	-5		新井清重		福永實	
11	7	9		サソリザ	牝2	54.0		野澤憲彦	1:17.4	3/4	12-12-12	38.7	215.2	12	443	3		佐々木清		内藤好江	
12	8	12		ゴーゴーライン	牡2	55.0		小杉亮	1:17.6	3/4	10-10-11	39.2	30.4	8	425	-8		斉藤敏		中地賢次郎	
