rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	4		マウンテンホーク	牡4	56.0		安藤洋一	1:14.8		5-3	37.9	3.1	2	505	0		藤田輝信		ゴドルフィン	80.0
2	1	1		フォレストプリンス	牡5	56.0		森泰斗	1:14.9	3/4	1-1	38.3	1.5	1	497	7		森下淳平		国田正忠	32.0
3	3	6		ジュエルバローズ	牝4	54.0		張田昂	1:16.9	10.0	9-8	39.4	51.8	7	385	-8		田中正人		篠原徹	20.0
4	3	5		カナラズクル	牝4	54.0		有年淳	1:16.9	アタマ	7-5	39.7	57.1	8	443	0		納谷和玖		欠畑圭一	12.0
5	2	3		カリーナブルー	牝4	54.0		小林拓未	1:17.3	2.0	11-10	39.4	131.2	11	404	-9		岡野尚光		山下晃徳	8.0
6	5	10		ハイロックスター	セ4	56.0		中村尚平	1:17.3	アタマ	12-12	39.1	25.5	4	456	-1		高岩孝敏		井上久光	
7	7	13		コーゲンサイモン	セ4	56.0		瀬川将輝	1:17.6	1.3/4	4-3	40.7	168.7	12	450	2		井上弘之		（株）光元コーポレ	
8	6	11		ネオジョーダン	牡4	56.0		濱田達也	1:17.8	3/4	8-9	40.3	39.2	5	480	7		柏木一夫		（株）馬事学院	
9	8	15		ドリームノーティス	牝5	54.0		松崎正泰	1:18.0	3/4	13-13	39.4	50.2	6	417	2		佐藤壽		酒井孝敏	
10	6	12		トキノミライ	牝4	54.0		本村直樹	1:18.3	1.1/2	6-7	41.2	116.1	10	441	16		高岩孝敏		榊原勝好	
11	4	7		ラムレットキス	牝4	54.0		今野忠成	1:18.7	2.0	10-11	41.1	300.6	14	383	0		渡部則夫		多治見国壽	
12	5	9		モンテサーナ	牝4	52.0		篠谷葵	1:18.7	ハナ	2-2	42.0	111.8	9	405	-2		吉井竜一		勝山隆造	
13	4	8		マボロシ	牝4	54.0		高橋昭平	1:19.3	3.0	3-6	42.4	282.0	13	395	5		佐藤壽		酒井孝敏	
14	1	2		キタノライアン	セ4	56.0		石川駿介	1:19.8	2.1/2	14-14	38.8	7.8	3	498	-3		田中正人		北所直人	
除	7	14		ルピンテルツォ	牡4	56.0		町田直希					---		477	2		栗田泰昌		永山和夫	
取	8	16		シュトルツ	牝4	54.0		藤田凌					---		計不			荒山勝徳		林正道	
