rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		レディマドンナ	牝3	54.0		川田将雅	1:53.7		10-10-7-7	37.5	4.7	1	442	-12		角居勝彦		グランド牧場	720.0
2	8	13		メイショウテンダン	牡3	56.0		秋山真一	1:53.8	3/4	2-3-2-2	38.1	6.5	4	458	-8		南井克巳		松本好雄	290.0
3	4	5		コンカラー	牡3	56.0		岩田康誠	1:53.9	1/2	11-11-11-9	37.4	14.4	8	474	2		石坂正		江口雄一郎	180.0
4	6	8		スペースクラフト	牡3	56.0		武豊	1:54.2	1.3/4	7-8-4-4	38.3	5.2	2	492	4		松永幹夫		社台レースホース	110.0
5	7	11		ロードリバーサル	牡3	56.0		藤岡康太	1:54.3	1/2	4-4-5-5	38.4	41.3	10	492	6		藤岡健一		ロードホースクラブ	72.0
6	2	2		シェパードボーイ	牡3	56.0		井上敏樹	1:54.3	ハナ	6-6-9-9	37.9	8.4	6	444	-6		大久保龍		吉田照哉	
7	4	4		スズカカナロア	牡3	56.0		松山弘平	1:54.6	1.3/4	7-7-7-7	38.4	10.8	7	488	-2		橋田満		永井啓弍	
8	5	6		セロシア	牡3	56.0		幸英明	1:54.7	1/2	9-8-11-11	38.0	7.1	5	462	10		渡辺薫彦		ノースヒルズ	
9	6	9		オーパスメーカー	牝3	54.0		和田竜二	1:54.8	3/4	4-4-5-5	38.9	42.9	11	464	-8		羽月友彦		松岡隆雄	
10	3	3		フクノワイルド	牡3	53.0		亀田温心	1:55.4	3.1/2	11-11-13-11	38.6	115.1	13	480	-8		杉山晴紀		佐藤範夫	
11	5	7		レオンコロナ	牡3	56.0		シュタル	1:56.0	3.1/2	13-13-9-11	39.3	28.8	9	458	-4		鈴木孝志		山口敦広	
12	7	10		レクスミノル	牡3	56.0		酒井学	1:56.1	1/2	1-1-1-1	40.7	80.1	12	476	-2		本田優		吉岡實	
13	8	12		ジューンステータス	牡3	56.0		北村友一	1:56.5	2.1/2	2-2-2-2	40.9	5.7	3	476	0		今野貞一		吉川潤	
