rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	13		エイシンバッカス	牡3	56.0		松山弘平	1:12.2		2-2	35.9	6.3	3	470	12		今野貞一		栄進堂	760.0
2	2	4		コウユークロガヨカ	牡4	57.0		武豊	1:12.2	アタマ	1-1	36.0	1.9	1	472	-6		竹内正洋		加治屋貞光	300.0
3	7	14		ショウブ	牡4	57.0		和田竜二	1:12.8	3.1/2	6-6	36.2	18.7	6	486	12		加用正		協栄	190.0
4	5	9		タイガーサイレンス	牡3	56.0		高倉稜	1:12.9	1.0	6-6	36.3	6.0	2	456	8		大橋勇樹		伊藤和夫	110.0
5	1	2		ネオレインボウ	セ4	57.0		田辺裕信	1:13.0	1/2	8-8	36.2	9.9	4	492	0		小西一男		西田俊二	76.0
6	3	6		コーリングローリー	牡3	55.0		菊沢一樹	1:13.1	3/4	11-11	36.0	27.4	9	454	-2		小野次郎		伊藤恵子	
7	8	16		トモジャバロンド	牡4	57.0		横山武史	1:13.1	ハナ	2-2	36.7	35.8	10	486	8		鈴木伸尋		吉冨学	
8	8	15		イチバンヤリ	牡4	57.0		松若風馬	1:13.2	1/2	4-4	36.7	25.4	7	522	16		松永幹夫		岡浩二	
9	2	3		ピュアプリンセス	牝3	54.0		戸崎圭太	1:13.6	2.0	4-4	37.1	13.8	5	478	-2		加藤和宏		田畑利彦	
10	4	7		トミケンプロズバ	牡4	57.0		川須栄彦	1:13.6	クビ	8-8	36.7	197.6	14	486	-2		伊坂重信		冨樫賢二	
11	5	10		グランドストローク	牡3	53.0		秋山稔樹	1:13.7	1/2	13-14	36.5	26.9	8	456	-2		水野貴広		コスモヴューファーム	
12	6	11		ペイシャチャーム	牝3	51.0		服部寿希	1:13.8	1/2	8-8	37.0	535.6	16	444	-4		本間忍		北所直人	
13	3	5		ミューティー	牝3	52.0		亀田温心	1:13.8	アタマ	16-16	36.4	195.8	13	484	18		古賀史生		鈴木康弘	
14	1	1		アポロアミ	牝5	55.0		三浦皇成	1:14.2	2.1/2	14-11	36.9	66.7	11	466	2		矢野英一		アポロサラブレッドクラブ	
15	4	8		イリスファルコン	牝6	55.0		西田雄一	1:14.6	2.1/2	11-11	37.5	168.8	12	432	10		南田美知		菅原広隆	
16	6	12		ラフカディオ	牡5	57.0		黛弘人	1:15.2	3.1/2	14-14	37.9	230.9	15	516	2		天間昭一		ノルマンディーサラブレッドレーシング	
