日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/06/07	曇	1	8	7	7	102.6	7	6	54.0	不	1:33.7	3.0	3-5-3-6	0.0-38.7	41.5	金沢	202246060701	未勝利	202246060701	a0199	服部大地	ダ	1400	390	11	0.0
2022/05/17	曇	1	9	1	1	123.2	7	9	54.0	稍	1:37.4	6.0	3-5-8-9	0.0-38.7	43.4	金沢	202246051701	3歳B　二走1	202246051701	a02e3	甲賀弘隆	ダ	1400	379	2	0.0
2022/05/02	晴	1	10	3	3	159.7	9	10	54.0	重	1:37.7	7.4	4-3-7-8	0.0-38.4	44.7	金沢	202246050201	3歳B　4	202246050201	a02e3	甲賀弘隆	ダ	1400	377	-16	0.0
2022/04/04	雨	1	7	7	7	55.2	7	6	54.0	不	1:39.6	4.4	3-3-3-5	40.7-41.9	45.8	川崎	202245040401	ニューフェイス賞	202245040401	a0188	藤江渉	ダ	1400	393	-5	0.0
2022/02/28	晴	1	11	8	10	79.2	9	10	54.0	良	1:41.6	7.5	3-3-8-9	41.2-40.4	47.4	川崎	202245022801	ニューフェイス賞	202245022801	a0188	藤江渉	ダ	1400	398	0	0.0
