horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	重賞/出走	重賞/勝利	特別/出走	平場/出走	芝/出走	ダート/出走	勝利/ダート
000a001033	1986	215	1	0	1	0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.64	3200.0	0.0	0.0	1983109000.0										
000a001033	1984	289	1	1	11	2	0.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	11.0	2.0	1.0	2.72	1830.0	0.0	1750.0	1979106966.0										
000a001033	1983	281	1	1	14	1	0.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	14.0	1.0	1.0	3.12	2100.0	0.0	1800.0	1979106966.0										
000a001033	1982	384	1	1	9	1	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	9.0	1.0	1.0	0.96	653.0	0.0	1800.0	1979106966.0										
000a0004ce	1998	502	1	0	5	0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.47	410.0	0.0	0.0	1993107528.0										
000a0004ce	1997	304	9	1	46	2	1.0	0.0	0.0	0.0	45.0	2.0	6.0	0.0	33.0	0.0	0.111	0.41	3193.0	0.0	0.0	1992106968.0										
000a0004ce	1996	249	10	2	59	3	0.0	0.0	6.0	0.0	53.0	3.0	18.0	0.0	39.0	3.0	0.2	0.54	4789.4	0.0	1333.3	1992106968.0										
000a0004ce	1995	238	12	3	70	4	0.0	0.0	13.0	0.0	57.0	4.0	35.0	1.0	35.0	3.0	0.25	0.51	5281.0	1200.0	1066.7	1992105739.0										
000a0004ce	1994	160	19	5	122	7	3.0	0.0	24.0	0.0	95.0	7.0	57.0	3.0	64.0	4.0	0.263	0.55	8982.6	1200.0	1050.0	1991108416.0										
000a0004ce	1993	85	29	9	173	9	4.0	1.0	39.0	0.0	130.0	8.0	60.0	2.0	105.0	7.0	0.31	0.78	19980.0	1500.0	1228.6	1990101981.0										
000a0004ce	1992	33	41	18	302	24	17.0	3.0	106.0	5.0	179.0	16.0	163.0	13.0	130.0	11.0	0.439	1.34	49262.0	1307.7	1327.3	1986101828.0										
000a0004ce	1991	26	43	16	315	23	16.0	0.0	85.0	8.0	214.0	15.0	148.0	13.0	143.0	7.0	0.3720000000000001	1.36	50605.0	1307.7	1257.1	1987100342.0										
000a0004ce	1990	18	58	29	400	43	15.0	2.0	89.0	8.0	296.0	33.0	173.0	11.0	192.0	26.0	0.5	1.31	62467.5	1309.1	1223.1	1986101828.0										
000a0004ce	1989	20	64	27	441	37	11.0	1.0	125.0	8.0	305.0	28.0	228.0	17.0	184.0	19.0	0.422	1.12	56709.0	1500.0	1168.4	1986101828.0										
