日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/04/09	晴	10	11	7	8	9.2	3	3	54.0	良	1:58.9	0.6	7-7-6-5	35.5-34.3	34.5	阪神	202209020510	京橋S(3勝クラス)	202209020510	01174	岩田望来	芝	2000	478	-2	463.7
2022/03/05	晴	9	9	6	6	6.2	3	1	57.0	良	2:00.6	0.0	4-4-3-3	36.6-35.4	35.1	阪神	202209010709	和田岬特別(2勝クラス)	202209010709	01170	横山武史	芝	2000	480	0	1531.0
2021/11/21	晴	10	11	6	6	17.2	6	5	57.0	良	1:46.4	1.1	4-4	35.9-35.0	34.6	阪神	202109050610	武田尾特別(2勝クラス)	202109050610	01170	横山武史	芝	1800	480	4	150.0
2021/10/31	曇	8	11	3	3	6.2	3	5	57.0	良	1:47.2	0.6	8-7	36.6-33.7	33.3	阪神	202109040808	3歳以上2勝クラス	202109040808	00666	武豊	芝	1800	476	4	110.0
2021/10/16	曇	10	11	5	5	5.3	3	2	57.0	良	2:00.2	0.1	6-6-6-6	36.0-36.9	36.1	阪神	202109040310	北國新聞杯(2勝クラス)	202109040310	01093	藤岡佑介	芝	2000	472	8	606.8
2021/07/18	晴	9	14	4	6	10.0	4	7	57.0	良	1:59.5	0.6	12-11-10-10	35.2-34.8	34.5	小倉	202110030609	高千穂特別(2勝クラス)	202110030609	01168	富田暁	芝	2000	464	-6	0.0
2021/06/26	曇	9	7	6	6	2.6	1	6	57.0	良	1:46.9	0.9	2-3	35.8-35.2	35.9	阪神	202109030309	三木特別(2勝クラス)	202109030309	01126	松山弘平	芝	1800	470	0	0.0
2021/05/23	晴	9	10	6	6	2.4	1	2	57.0	良	1:46.4	0.2	6-5-5	35.7-35.0	33.9	東京	202105021009	調布特別(2勝クラス)	202105021009	05339	ルメール	芝	1800	470	-2	607.4
2021/03/06	曇	11	17	2	4	4.9	1	2	57.0	稍	2:02.2	0.1	5-5-4-3	36.7-35.6	35.2	小倉	202110020711	八代特別(2勝クラス)	202110020711	01179	菅原明良	芝	2000	472	-8	611.4
2021/02/14	晴	8	8	7	7	7.5	4	2	56.0	良	1:59.1	0.2	4-4-3-3	36.7-34.5	34.3	阪神	202109010208	4歳以上2勝クラス	202109010208	05203	岩田康誠	芝	2000	480	-2	440.0
2021/01/30	晴	10	9	1	1	2.8	2	5	56.0	稍	2:02.1	0.8	6-6-5-7	36.4-36.0	35.8	中京	202107010910	天竜川特別(2勝クラス)	202107010910	01014	福永祐一	芝	2000	482	12	150.0
2020/11/15	晴	8	9	1	1	2.8	1	3	55.0	良	2:13.9	0.3	6-6-7-8	36.8-34.1	33.9	阪神	202009050408	3歳以上2勝クラス	202009050408	01126	松山弘平	芝	2200	470	-4	280.0
2020/10/25	晴	9	13	3	3	38.3	7	2	54.0	良	2:14.6	0.2	8-9-1-1	36.9-34.7	34.9	京都	202008040609	鳴滝特別(2勝クラス)	202008040609	01126	松山弘平	芝	2200	474	10	607.8
2020/09/12	曇	8	7	1	1	3.8	3	5	53.0	良	2:01.5	0.5	7-7-7-7	37.7-34.5	34.2	中京	202007020108	木曽川特別(2勝クラス)	202007020108	01126	松山弘平	芝	2000	464	2	150.0
2020/08/22	曇	9	11	6	7	4.3	2	1	54.0	良	1:59.8	-0.2	5-5-4-1	35.1-35.7	35.5	小倉	202010020309	都井岬特別(1勝クラス)	202010020309	01126	松山弘平	芝	2000	462	-10	1090.1
