waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2019106862	マブセレナード	牝2	54.0	01143	原田和	01109	伊藤大	462	10
1	2	2019105891	メロンチャン	牝2	54.0	05243	柴山	01124	大和田	464	2
2	3	2019102469	ダイチラファール	牡2	53.0	01181	秋山稔	01096	粕谷	436	4
2	4	2019106500	アピーリングライフ	牝2	51.0	01192	横山琉	01090	天間	394	-2
3	5	2019100855	トラストパッキャオ			01183	小林脩	01088	高木		
3	6	2019100158	グレースミューズ	牝2	52.0	01164	藤田菜	01080	清水英	432	-2
4	7	2019102838	チアリング	牝2	54.0	01179	菅原明	01056	本間	446	-6
4	8	2019104154	レディビートル	牝2	54.0	01134	嶋田	00428	石毛	382	0
5	9	2019110106	オカンモシャチョウ	牝2	51.0	01191	松本	00427	森	446	-6
5	10	2019101259	ワールドブルックス	牡2	54.0	01176	亀田	01099	本田	488	-2
6	11	2019104150	ウルオイ	牝2	54.0	01138	藤懸	01077	加藤和	432	4
6	12	2019104516	テリオスリノ	牝2	51.0	01177	小林凌	01149	松下	426	-4
7	13	2019100739	コスモサルム	牡2	55.0	01091	丹内	01124	大和田	464	0
7	14	2019101795	ヴェルデヴェント	牝2	54.0	01161	菊沢	01179	鈴木慎	442	-8
7	15	2019104333	ギンノカミカザリ	牝2	51.0	01185	小沢	00425	加用	444	-4
8	16	2019101562	デフィデリ	牡2	52.0	01184	原	00437	南田	452	-2
8	17	2019104370	プロメテウス	牡2	54.0	01167	木幡育	01012	大江原	440	6
8	18	2019101313	ルクスランページ	牡2	55.0	01152	小崎	01107	村山	460	-4
