rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	8		ケープコッド	牝2	54.0		吉田隼人	1:09.9		2-2	35.8	1.1	1	458	0		高柳瑞樹		ゴドルフィン	500.0
2	4	4		ディーズギャラント	牝2	54.0		的場勇人	1:10.8	5.0	6-6	35.6	115.8	8	440	-4		藤原辰雄		秋谷壽之	200.0
3	7	7		オニンギョウサン	牝2	54.0		黛弘人	1:10.9	3/4	4-3	36.4	27.6	4	424	-4		奥平雅士		ミルファーム	130.0
4	3	3		ミーハディビーナ	牝2	54.0		丹内祐次	1:10.9	クビ	1-1	36.8	38.4	5	430	0		牧光二		ノルマンディーサラブレッドレーシング	75.0
5	1	1		アドラブルリリー	牝2	54.0		藤岡佑介	1:11.2	1.3/4	7-7	35.5	14.7	3	394	2		高橋裕		ディアレストクラブ	50.0
6	6	6		エクスチェンジ	牝2	51.0		亀田温心	1:11.3	1/2	4-5	36.7	62.1	6	454	-2		加用正		宮川純造	
7	5	5		ダンツシルビア	牝2	54.0		岩田康誠	1:11.6	1.3/4	3-3	37.3	5.6	2	446	0		谷潔		山元哲二	
8	2	2		ハートフルシーン	牝2	54.0		加藤祥太	1:12.3	4.0	8-8	36.3	101.1	7	414	0		杉山晴紀		程田真司	
