waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016101161	ロードアブソルート	牡5	57.0	01150	石川	01176	吉岡	442	0
2	2	2017110076	ニュートンテソーロ	牡4	57.0	01077	石橋脩	01162	田中博	506	0
2	3	2016103289	モダスオペランディ	牡5	57.0	01127	丸山	01028	西園	526	-2
3	4	2016101147	ロードリバーサル	牡5	57.0	05212	Ｍデムーロ	01062	藤岡	494	2
3	5	2016110157	アヴァンセ	セ5	57.0	01162	木幡巧	01130	吉村	478	2
4	6	2016103983	サンレイファイト	牡5	57.0	01178	斎藤	01181	茶木	468	4
4	7	2016102082	ストームガスト	牡5	57.0	01122	三浦	01158	寺島	456	-2
5	8	2017104105	プリティーチャンス	牝4	55.0	01157	鮫島駿	01098	野中	452	-16
5	9	2017104112	リュウノゾロ	セ4	57.0	01129	菅原隆	01125	小野	478	2
6	10	2015101632	プロスパラスデイズ	セ6	57.0	01037	太宰	01044	昆	504	-10
6	11	2017102676	カフェスペランツァ	牡4	57.0	01092	津村	01153	中舘	514	6
7	12	2017104622	シホノレジーナ	牝4	55.0	01179	菅原明	01158	寺島	514	-4
7	13	2017100917	プロヴィデンス	牡4	57.0	00422	内田博	01169	加藤士	488	2
8	14	2016102081	オルクリスト	牡5	57.0	00641	柴田善	01008	杉浦	488	14
8	15	2016104507	アントリューズ	牡5	57.0	01075	田辺	01127	栗田	508	0
