rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	8		スピリットワンベル	牡4	57.0		松山弘平	1:11.0		4-6	35.5	3.2	1	526	-10		牧田和弥		鈴木昭和	1,534.3
2	4	4		サンライズカラマ	牡5	57.0		浜中俊	1:11.1	3/4	4-5	35.7	4.8	2	496	2		石坂公一		松岡隆雄	609.8
3	3	3		ウラガーノ	牝5	55.0		太宰啓介	1:11.1	ハナ	3-2	35.9	5.5	4	520	4		上村洋行		藤田孟司	384.9
4	6	6		バルコラベーロ	牡5	57.0		西村淳也	1:11.3	1.1/4	7-7	35.8	9.3	5	482	10		梅田智之		サンデーレーシング	230.0
5	7	7		スズカプリズム	牝6	55.0		酒井学	1:11.3	ハナ	8-9	35.6	22.0	8	484	-4		橋田満		永井啓弍	150.0
6	2	2		サクレディーヴァ	牝6	55.0		鮫島克駿	1:11.6	1.3/4	1-1	36.5	5.3	3	524	-6		加藤征弘		Ｋ．Ｓ．ヤップ	
7	1	1		リリーメーカー	牝5	55.0		鮫島良太	1:11.8	1.1/4	10-10	35.9	33.7	9	518	12		長谷川浩		阿部榮乃進	
8	5	5		オンリーワンスター	牝6	55.0		岩崎翼	1:11.9	1/2	2-2	36.8	10.2	6	456	8		渡辺薫彦		宮内牧場	
9	8	10		シゲルゴホウサイ	牝7	55.0		斎藤新	1:12.3	2.1/2	8-7	36.7	13.1	7	470	-8		森田直行		森中蕃	
10	8	9		キョウワエステル	牝6	55.0		岩田望来	1:12.5	1.1/4	4-4	37.2	88.0	10	486	12		千田輝彦		協和牧場	
