rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	3	3		ハクアイオウ	牡3	56.0		山口勲	1:30.1		6-4-2-1	39.1	1.0	1	554	2		東眞市		（株）Ｈ．Ｉコーポ	32.0
2	4	4		タガノクロシェット	牝4	54.0		田中純	1:30.4	1.1/2	8-6-5-5	38.3	89.6	9	445	-3		川田孝好		崎谷彦司	9.6
3	8	12		ピエナガウディ	牡4	56.0		山下裕貴	1:30.9	2.1/2	9-9-6-6	38.3	16.7	4	447	1		九日俊光		（同）ＪＰＮ技研	5.1
4	8	11		マリーベリー	牝5	52.0		金山昇馬	1:31.1	1.1/4	7-8-7-7	38.5	14.4	2	446	0		池田忠好		小橋亮太	2.6
5	1	1		ステラポラーレ	牡6	53.0		池谷匠翔	1:31.4	1.1/2	2-3-4-4	40.1	72.6	8	454	1		手島勝利		吉田勝利	1.9
6	7	10		セルリアンラグバ	牡5	56.0		石川倭	1:31.4	アタマ	3-2-3-3	40.6	15.7	3	512	-4		手島勝利		吉田勝利	
7	7	9		グランエスタード	牡4	56.0		村松翔太	1:31.6	3/4	1-1-1-2	41.0	46.6	6	439	0		坂井孝義		谷謙介	
8	6	7		ムーンパスイエロー	牝5	54.0		川島拓	1:31.7	1/2	12-12-9-9	37.9	72.0	7	486	4		土井道隆		木稲安則	
9	6	8		イヒラニ	牡3	56.0		石川慎将	1:32.2	2.1/2	11-11-10-10	38.5	36.3	5	478	1		平山宏秀		原久美子	
10	2	2		カシノアンビション	セ4	54.0		岩永千明	1:32.3	1/2	10-10-12-12	38.6	241.2	11	492	4		山下定文		柏木務	
11	5	5		セイントレイチェル	牝6	51.0		飛田愛斗	1:32.5	1.1/4	4-5-8-8	40.4	270.0	12	498	-2		池田忠好		小橋亮太	
12	5	6		ニンジンムスメ	牝4	54.0		兒島真二	1:33.7	6.0	5-7-11-11	40.4	174.4	10	451	2		渡辺博文		三岡陽	
