rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	10		ヒノシタカイザン	牡4	56.0		吉村智洋	1:31.0		6-6-3-1	39.3	2.8	1	498	10		玉垣光章		（株）山紫水明	60.0
2	6	7		コンフィアンス	牝4	54.0		井上幹太	1:31.7	4.0	4-4-5-4	40.2	8.2	5	448	4		雑賀伸一		豊島愛子	24.0
3	5	5		ナリタサーガ	セ5	56.0		竹村達也	1:31.9	1.1/2	7-7-7-7	40.1	15.8	7	463	0		坂本和也		（株）オースミ	15.0
4	5	6		マムティハット	牡5	55.0		大山龍太	1:32.1	3/4	9-9-9-6	40.1	92.3	9	462	-1		山口益巳		谷謙介	9.0
5	4	4		ドライブラン	牝5	52.0		長尾翼玖	1:32.4	2.0	1-1-1-2	41.2	6.6	4	460	0		盛本信春		岡村善行	6.0
6	2	2		ララパピヨンドメル	牝4	54.0		杉浦健太	1:32.5	クビ	5-4-6-5	41.0	6.5	3	464	0		碇清次郎		藤井亮輔	
7	8	11		ダイチョウセブン	牡7	56.0		田野豊三	1:32.7	1.1/2	10-10-10-10	40.1	98.6	10	494	2		碇清次郎		長谷川一雄	
8	7	9		エボカシオン	牡5	56.0		大山真吾	1:33.3	3.1/2	2-2-2-3	42.0	66.3	8	515	-5		松平幸秀		森田藤治	
9	8	12		フウカ	牝4	55.0		廣瀬航	1:33.4	1/2	3-3-4-7	42.0	3.4	2	463	15		田中一巧		（株）ニッシンホー	
10	6	8		メイショウシブキ	牡4	56.0		笹田知宏	1:33.6	1.0	8-8-8-9	41.7	12.8	6	530	-2		永島太郎		松本好雄	
11	1	1		ジャックビーンズ	牡7	56.0		松木大地	1:34.7	7.0	12-12-12-12	41.5	301.0	12	468	0		茂崎正善		組）オールザベスト組	
12	3	3		メイショウセッサイ	牡4	56.0		永井孝典	1:35.4	4.0	11-11-11-11	42.6	100.8	11	466	-4		橋本忠明		松本好雄	
