rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		シンゲキ	牡8	56.5		藤江渉	1:15.4		10-9-8	38.2	3.1	1	530	1		佐藤博紀		三浦直哉	200.0
2	4	4		スケールアップ	牡7	56.5		岡村健司	1:15.4	クビ	4-3-3	39.1	6.2	3	521	30		椎名廣明		高岡浩行	80.0
3	8	10		モリノラスボス	牡5	56.5		山本聡哉	1:15.5	1/2	2-1-2	39.5	15.0	8	541	-4		佐藤賢二		森和久	50.0
4	2	2		セイントビーナス	牝4	54.5		本田正重	1:15.7	1.0	6-5-4	39.1	13.1	6	438	-2		張田京		内海正章	30.0
5	7	7		クインズソール	牡8	56.5		加藤和博	1:15.7	ハナ	7-7-7	38.8	28.9	9	498	-1		玉井昇		鈴木伸哉	20.0
6	6	6		ニッチモサッチモ	セ4	56.5		森泰斗	1:15.9	3/4	9-8-9	38.7	14.3	7	438	-2		伊藤滋規		内田玄祥	
7	7	8		ハンサムウーマン	牝5	54.5		笹川翼	1:16.0	1/2	5-5-5	39.4	8.0	4	426	-7		石井勝男		福本次雄	
8	3	3		エスプリブラウン	牡8	56.5		伊藤裕人	1:16.1	3/4	8-10-10	38.8	63.5	10	505	-5		久保秀男		依田泰雄	
9	8	9		スマートアイビス	牡5	54.5		Ｍ．ミシ	1:16.2	1/2	1-1-1	40.2	10.3	5	494	-6		佐藤博紀		（株）ボンズ	
10	1	1		ラブリースマッシュ	牝5	54.5		吉原寛人	1:16.2	クビ	3-4-6	39.8	3.4	2	479	4		高月賢一		（同）ＪＰＮ技研	
