waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018100084	パナプリ	牡3	54.0	01168	富田	01123	牧田	438	-2
2	2	2017105179	アウサンガテ	牡4	57.0	01088	川田	01137	中内田	440	0
3	3	2018102715	ローゼライト	牝3	52.0	00732	幸	01110	清水久	424	2
4	4	2018105081	ジェラルディーナ	牝3	52.0	01014	福永	01151	斉藤崇	438	2
4	5	2017104677	オメガデラックス	セ4	57.0	01174	岩田望	01164	安田翔	434	8
5	6	2017104082	エスポワールミノル	牡4	57.0	01116	藤岡康	01098	野中	524	-4
5	7	2018102912	ジオルティ	牡3	54.0	01154	松若	01157	杉山晴	494	0
6	8	2014103348	スズカマイゲスト	牡7	57.0	01146	和田翼	00362	橋田	492	10
6	9	2016100251	ウインバラーディア	牡5	57.0	01125	国分優	01050	飯田雄	466	8
7	10	2017100029	テイエムフローラ	牝4	55.0	01018	和田竜	01111	鈴木孝	454	-2
7	11	2018104092	トウシンモンブラン	牝3	52.0	01126	松山	01157	杉山晴	470	0
8	12	2018100480	デルマヤクシ	牡3	54.0	01157	鮫島駿	01061	友道	450	4
8	13	2017100084	ナムラカミカゼ	牡4	57.0	01152	小崎	01107	村山	480	-8
