	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201243011001	ダ	左	1200	晴	良	10:30	C3五　六イ		2012-1-10	10	船橋	1			7	230	1	7	110	1	11	130	3	12.0	140.0	4.0	6-8	370.0	1.0	7-11	1100	4	7-11	380	4	7-12	370	3	11-12	490	6	6=>8	770.0	2.0	7=>11	1490	6	7-11-12	1410	3	7=>11=>12	5730	12.0		(1,2,10,11),(3,6),12,5,8,4,7,9	(1,2,11),(3,12),6,7,8,10,9,4,5	(1,2,11),12,3,7,6,8,9,4,10,5	12.8 - 11.9 - 12.4 - 12.9 - 13.5 - 13.7	12.8 - 24.7 - 37.1 - 50.0 - 63.5 - 77.2 (37.1-40.1)
201243011002	ダ	左	1200	晴	良	11:00	C3五　六ア		2012-1-10	10	船橋	1			5	1350	7	5	280	7	9	180	4	7.0	160.0	2.0	5-7	2460.0	10.0	5-9	5530	20	5-9	1,250	19	5-7	860	14	7-9	480	4	5=>7	3770.0	20.0	5=>9	11250	41	5-7-9	5300	21	5=>9=>7	59150	205.0		3,5,6,12,(4,9),2,7,1,11,10	35694712211110	(3,5),9,6,4,7,2,12,1,11,10	12.9 - 12.0 - 12.2 - 12.8 - 13.3 - 13.9	12.9 - 24.9 - 37.1 - 49.9 - 63.2 - 77.1 (37.1-40.0)
201243011003	ダ	左	1200	晴	良	11:30	3歳		2012-1-10	10	船橋	1	85万円以上199万円未満		2	470	3	2	150	3	8	120	1	5.0	180.0	4.0	2-6	400.0	1.0	2-8	440	2	2-8	210	1	2-5	600	8	5-8	360	3	2=>6	1130.0	5.0	2=>8	1340	4	2-5-8	1580	5	2=>8=>5	8300	21.0		2,3,10,5,(6,8),12,9,4,1,7,11	2,3,8,10,5,6,(4,9,12),7,1,11	2,(3,8),5,10,4,6,9,7,1,12,11	12.4 - 11.9 - 12.1 - 12.5 - 13.0 - 13.7	12.4 - 24.3 - 36.4 - 48.9 - 61.9 - 75.6 (36.4-39.2)
201243011004	ダ	左	1600	晴	良	12:00	3歳		2012-1-10	10	船橋	1	85万円以上199万円未満		3	360	2	3	130	2	8	110	1	4.0	740.0	12.0	3-6	380.0	1.0	3-8	320	1	3-8	160	1	3-4	2,180	29	4-8	1,200	14	3=>6	1120.0	5.0	3=>8	1050	3	3-4-8	2900	7	3=>8=>4	17240	47.0	8,(10,12),13,3,5,7,4,1,2,11,9,6	(8,13),(10,12),(3,7),4,5,1,(2,11,6),9	8,13,(3,12),7,(5,10),4,(1,6),2,9,11	8,(12,7),3,4,5,13,10,1,6,9,2,11	12.6 - 12.7 - 13.7 - 12.8 - 13.0 - 13.3 - 13.4 - 13.7	12.6 - 25.3 - 39.0 - 51.8 - 64.8 - 78.1 - 91.5 - 105.2 (39.0-40.4)
201243011005	ダ	左	1000	晴	良	12:30	初鷹スプリント 		2012-1-10	10	船橋	1			2	130	1	2	100	1	3	140	3							2-3	220	1	2-3	110	1	2-6	130	2	3-6	170	3				2=>3	290	1	2-3-6	190	1	2=>3=>6	500	1.0			2,3,(5,6),4,1	2,3,(5,6),4,1	12.2 - 11.5 - 11.7 - 12.3 - 12.6	12.2 - 23.7 - 35.4 - 47.7 - 60.3 (35.4-36.6)
201243011006	ダ	左	1500	晴	良	13:00	4歳　イ		2012-1-10	10	船橋	1	140万円以上		9	1090	4	9	200	4	8	510	7	10.0	140.0	2.0	7-8	770.0	3.0	8-9	8440	19	8-9	1,600	16	9-10	590	8	8-10	2,030	20	8=>7	1270.0	4.0	9=>8	16340	34	8-9-10	8890	25	9=>8=>10	87860	182.0	10,8,5,9,7,(1,3),4-2	10,8,5,9,7,1,3,4-2	10,8,9,5,(7,3),1,4,2	1089517342	7.0 - 12.5 - 13.4 - 13.7 - 13.3 - 12.8 - 13.0 - 13.1	7.0 - 19.5 - 32.9 - 46.6 - 59.9 - 72.7 - 85.7 - 98.8 (32.9-38.9)
201243011007	ダ	左	1500	晴	良	13:30	4歳　ア		2012-1-10	10	船橋	1	140万円以上		6	240	1	6	160	2	4	200	3	9.0	950.0	8.0	4-6	410.0	2.0	4-6	470	2	4-6	280	2	6-9	1,740	19	4-9	3,090	28	6=>4	990.0	5.0	6=>4	970	5	4-6-9	8370	20	6=>4=>9	25260	72.0	(3,8),9,(10,11),4,6,5,7,1	3,8,9,11,10,6,4,(5,7),1	(3,8,1),9,10,6,(5,11),7,4	(3,8),9,10,6,1,5,4,11,7	6.8 - 12.0 - 13.5 - 13.2 - 12.6 - 13.2 - 13.4 - 13.7	6.8 - 18.8 - 32.3 - 45.5 - 58.1 - 71.3 - 84.7 - 98.4 (32.3-40.3)
201243011008	ダ	左	1200	晴	良	14:00	C2一　二		2012-1-10	10	船橋	1			11	350	1	11	140	2	10	140	1	6.0	200.0	4.0	7-8	490.0	1.0	10-11	760	1	10-11	330	1	6-11	590	5	6-10	580	4	8=>7	1030.0	1.0	11=>10	1370	2	6-10-11	2340	3	11=>10=>6	8660	10.0		10,(11,12),1,3,5,4,(2,6),8,9,7	10,11,12,1,2,3,5,(6,8),4,7,9	10,11,12,1,2,3,5,8,6,4,(7,9)	12.5 - 11.8 - 12.0 - 12.1 - 12.5 - 13.4	12.5 - 24.3 - 36.3 - 48.4 - 60.9 - 74.3 (36.3-38.0)
201243011009	ダ	左	1600	晴	良	14:30	散歩の達人杯		2012-1-10	10	船橋	1			12	450	1	12	240	4	6	490	8	9.0	480.0	7.0	4-7	420.0	1.0	6-12	4170	16	6-12	1,300	13	9-12	1,690	21	6-9	3,130	39	7=>4	890.0	1.0	12=>6	6020	19	6-9-12	25750	95	12=>6=>9	118210	410.0	9,(11,13),14,3,12,5,1,4,6,2,10,7,8	9,(11,13),3,14,12,(1,5),4,(2,6),10,8,7	9,11,13,3,(1,14),5,12,4,6,2,10,8,7	9,11,13,3,1,4,5,12,(14,6),2,10,8,7	12.6 - 12.3 - 12.9 - 12.8 - 12.7 - 13.3 - 13.4 - 14.1	12.6 - 24.9 - 37.8 - 50.6 - 63.3 - 76.6 - 90.0 - 104.1 (37.8-40.8)
201243011010	ダ	左	1600	晴	良	15:05	ブルーバードカップ 		2012-1-10	10	船橋	1	199万円以上		3	830	5	3	180	2	4	520	9	6.0	150.0	1.0	3-4	7770.0	22.0	3-4	9880	33	3-4	1,620	24	3-6	400	2	4-6	1,300	19	3=>4	15790.0	38.0	3=>4	19220	67	3-4-6	6280	23	3=>4=>6	67020	239.0	6,8,11,(5,7),10,(1,9),4,3,2	6,8,11,(5,7),(9,10),1,(4,3),2	(6,8,11),(5,7),(9,10),3,1,2,4	(6,8,11),7,(5,9),10,3,2,1,4	12.5 - 12.1 - 13.2 - 12.9 - 12.7 - 12.9 - 13.6 - 14.8	12.5 - 24.6 - 37.8 - 50.7 - 63.4 - 76.3 - 89.9 - 104.7 (37.8-41.3)
