	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201242013101	ダ	左	1300	晴	稍重	11:10	4歳　選抜馬イ		2012-1-31	9	浦和	2			6	450	2	6	110	2	4	100	1	8.0	130.0	3.0	4-6	240.0	1.0	4-6	250	1	4-6	150	1	6-8	350	5	4-8	200	3	6=>4	720.0	3.0	6=>4	710	4	4-6-8	440	2	6=>4=>8	2670	8	4,8,2,3,6,5,7,10,9-1	48235697101	48362597101	46832957101	6.3 - 11.7 - 12.5 - 13.5 - 13.1 - 13.9 - 13.4	6.3 - 18.0 - 30.5 - 44.0 - 57.1 - 71.0 - 84.4 (30.5-40.4)
201242013102	ダ	左	1400	晴	稍重	11:40	C3十　11		2012-1-31	9	浦和	2			10	680	4	10	210	4	12	200	3	8.0	670.0	9.0	7-8	1310.0	8.0	10-12	1390	7	10-12	560	7	8-10	2,160	24	8-12	2,070	23	7=>8	2380.0	15.0	10=>12	2780	14	8-10-12	11980	39	10=>12=>8	46340	148	57832496121011	57834296101112	57810324961112	10857364211129	12.9 - 12.4 - 13.4 - 13.9 - 13.2 - 13.7 - 13.9	12.9 - 25.3 - 38.7 - 52.6 - 65.8 - 79.5 - 93.4 (38.7-40.8)
201242013103	ダ	左	1400	晴	稍重	12:10	C3十　11		2012-1-31	9	浦和	2			5	370	1	5	160	2	9	170	4	7.0	240.0	6.0	5-7	990.0	5.0	5-9	1010	2	5-9	380	1	5-7	700	13	7-9	690	11	5=>7	1560.0	7.0	5=>9	1940	2	5-7-9	2410	10	5=>9=>7	9820	23	111259461028371	11,12,5,9,(4,6),10,2,8,7,1,3	11,(12,5),9,8,6,10,4,7,2,1-3	5,9,11,6,12,10,8,(4,7),2,1-3	12.6 - 12.5 - 13.7 - 13.6 - 12.8 - 13.5 - 13.7	12.6 - 25.1 - 38.8 - 52.4 - 65.2 - 78.7 - 92.4 (38.8-40.0)
201242013104	ダ	左	1600	晴	稍重	12:40	C2九		2012-1-31	9	浦和	2			6	160	1	6	100	1	11	120	2	10.0	130.0	3.0	6-8	160.0	1.0	6-11	250	1	6-11	160	1	6-10	250	2	10-11	300	4	6=>8	210.0	1.0	6=>11	340	1	6-10-11	520	1	6=>11=>10	1370	1	4,7,2,6,1,10,3,9,5,11-8	4-7,2,6,1,10,11,5,9,3=8	4,6,7,2,1,10,11,5,9,3=8	6,7,(4,10),1,11,2,5,9,3=8	12.6 - 11.9 - 13.0 - 13.2 - 13.8 - 13.7 - 14.0 - 13.7	12.6 - 24.5 - 37.5 - 50.7 - 64.5 - 78.2 - 92.2 - 105.9 (37.5-41.4)
201242013105	ダ	左	1500	晴	稍重	13:10	C2七　八		2012-1-31	9	浦和	2			8	170	1	8	120	1	9	550	8	5.0	150.0	2.0	7-8	540.0	2.0	8-9	4170	13	8-9	1,580	20	5-8	320	2	5-9	4,240	27	7=>8	690.0	3.0	8=>9	4780	14	5-8-9	8840	26	8=>9=>5	49640	121	95728610341	9-5,2,7,8,6,10,3,4,1	9,5,8,2,7,6,10,4,3-1	98562710431	7.2 - 12.0 - 12.6 - 12.8 - 13.4 - 13.3 - 13.6 - 13.9	7.2 - 19.2 - 31.8 - 44.6 - 58.0 - 71.3 - 84.9 - 98.8 (31.8-40.8)
201242013106	ダ	左	1500	晴	稍重	13:45	C2七　八		2012-1-31	9	浦和	2			2	2010	5	2	300	5	3	170	3	6.0	120.0	1.0	2-3	6970.0	15.0	2-3	6020	13	2-3	1,440	14	2-6	770	8	3-6	390	3	2=>3	13000.0	28.0	2=>3	15160	33	2-3-6	3950	12	2=>3=>6	54130	120	379652481	376952481	327695841	326795814	7.2 - 11.7 - 12.3 - 13.1 - 13.4 - 13.1 - 13.3 - 13.7	7.2 - 18.9 - 31.2 - 44.3 - 57.7 - 70.8 - 84.1 - 97.8 (31.2-40.1)
201242013107	ダ	左	1400	晴	稍重	14:20	ツインマッチ特別 		2012-1-31	9	浦和	2	(別定)		5	690	5	5	250	5	1	280	6	4.0	240.0	4.0	1-5	3900.0	16.0	1-5	3700	14	1-5	1,120	15	4-5	890	14	1-4	810	11	5=>1	6690.0	31.0	5=>1	7650	31	1-4-5	6040	20	5=>1=>4	41420	142	51389102746	51932810746	51984321067	51489103276	12.6 - 12.2 - 12.6 - 13.4 - 12.6 - 13.8 - 13.6	12.6 - 24.8 - 37.4 - 50.8 - 63.4 - 77.2 - 90.8 (37.4-40.0)
201242013108	ダ	左	1500	晴	稍重	14:55	C1六		2012-1-31	9	浦和	2			3	120	1	3	110	1	10	240	6	7.0	210.0	5.0	3-8	420.0	1.0	3-10	520	1	3-10	300	4	3-7	360	5	7-10	1,450	21	3=>8	630.0	1.0	3=>10	990	6	3-7-10	2060	11	3=>10=>7	8530	33	87310412596	8,7,(3,10),4,1-5,(2,9),6	7,10,8,(3,4),1-2,5,9,6	71034185269	7.4 - 12.0 - 13.2 - 13.3 - 13.2 - 12.3 - 13.6 - 13.1	7.4 - 19.4 - 32.6 - 45.9 - 59.1 - 71.4 - 85.0 - 98.1 (32.6-39.0)
201242013109	ダ	左	1400	晴	稍重	15:30	ツインエース特別 		2012-1-31	9	浦和	2	(別定)		9	380	2	9	150	1	12	160	2	6.0	800.0	11.0	7-8	500.0	1.0	9-12	1180	2	9-12	420	2	6-9	3,970	37	6-12	5,890	47	7=>8	700.0	1.0	9=>12	1800	3	6-9-12	25280	62	9=>12=>6	88860	287	101279146532811	101297615432118	101296371114852	912106348111752	12.4 - 12.7 - 13.4 - 13.3 - 12.3 - 13.2 - 12.8	12.4 - 25.1 - 38.5 - 51.8 - 64.1 - 77.3 - 90.1 (38.5-38.3)
201242013110	ダ	左	1600	晴	稍重	16:05	睦月特別 		2012-1-31	9	浦和	2	(ハンデ)		1	240	2	1	120	1	7	210	5	2.0	170.0	4.0	1-7	1020.0	5.0	1-7	890	5	1-7	430	8	1-2	330	3	2-7	870	15	1=>7	1280.0	4.0	1=>7	1700	7	1-2-7	1680	5	1=>7=>2	7250	24	17295438	17295438	17293548	17293458	12.5 - 12.5 - 13.5 - 14.2 - 13.8 - 12.9 - 12.6 - 13.0	12.5 - 25.0 - 38.5 - 52.7 - 66.5 - 79.4 - 92.0 - 105.0 (38.5-38.5)
