waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017100720	デアリングタクト	牝5	55.0	01126	松山	01157	杉山晴		
1	2	2018105355	ソングライン	牝4	55.0	01032	池添	01163	林		
2	3	2017106414	メイショウミモザ	牝5	55.0	01157	鮫島駿	01021	池添兼		
2	4	2017104804	マジックキャッスル	牝5	55.0	05386	戸崎圭	00399	国枝		
3	5	2018105233	ソダシ	牝4	55.0	01095	吉田隼	01105	須貝		
3	6	2018104947	ディヴィーナ	牝4	55.0	00666	武豊	01061	友道		
4	7	2017105563	レシステンシア	牝5	55.0	01170	横山武	01149	松下		
4	8	2017103201	クリノプレミアム	牝5	55.0	01085	松岡	01031	伊藤伸		
5	9	2017101792	アブレイズ	牝5	55.0	01179	菅原明	01071	池江		
5	10	2016103084	ローザノワール	牝6	55.0	00684	田中勝	01028	西園正		
6	11	2018105181	ファインルージュ	牝4	55.0	05339	ルメール	01126	木村		
6	12	2017102936	ミスニューヨーク	牝5	55.0	05212	Ｍデムーロ	01157	杉山晴		
7	13	2017105335	レイパパレ	牝5	55.0	01088	川田	01117	高野		
7	14	2017106203	アカイイト	牝5	55.0	00732	幸	01039	中竹		
7	15	2018105020	アンドヴァラナウト	牝4	55.0	01014	福永	01144	池添学		
8	16	2017104637	デゼル	牝5	55.0	01116	藤岡康	01061	友道		
8	17	2016104791	シャドウディーヴァ	牝6	55.0	01163	坂井	01086	斎藤誠		
8	18	2017105607	テルツェット	牝5	55.0	05585	レーン	01114	和田郎		
