日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/14	曇	4	10	3	3	27.0	8	9	53.0	不	0:53.9	3.2	10-9	0.0-35.7	37.0	水沢	202236031404	C2	movie.html?race_id=202236031404	a03fd	ダ	850	478	-9	0.0
2021/11/30	晴	8	10	2	2	120.7	9	10	56.0	不	0:52.5	2.3	10-10	0.0-35.2	35.8	水沢	202136113008	B2	movie.html?race_id=202136113008	05571	ダ	850	487	5	0.0
2021/11/16	晴	11	12	7	10	124.3	11	11	56.0	重	1:29.8	3.3	12-12	0.0-37.5	38.9	盛岡	202135111611	ノベンバーC	movie.html?race_id=202135111611	05087	ダ	1400	482	6	0.0
2021/10/31	曇	9	9	8	9	121.6	9	6	56.0	稍	1:02.1	2.1	9-9	0.0-36.0	36.1	盛岡	202135103109	ライラック賞	movie.html?race_id=202135103109	05087	ダ	1000	476	4	0.0
2021/10/17	晴	8	11	4	4	48.2	10	10	56.0	不	1:31.0	4.2	11-10	0.0-38.7	40.4	盛岡	202135101708	B1	movie.html?race_id=202135101708	a01d1	ダ	1400	472	-6	0.0
2021/07/12	雨	10	9	8	8	90.5	9	9	56.0	重	1:00.9	1.8	9-9	0.0-35.6	35.8	盛岡	202135071210	シュアト賞	movie.html?race_id=202135071210	05087	ダ	1000	478	-2	0.0
2021/06/29	曇	9	9	5	5	44.5	9	4	56.0	良	1:15.7	0.6	9-9	0.0-39.2	38.0	盛岡	202135062909	B1	movie.html?race_id=202135062909	05087	ダ	1200	480	-7	5.5
2021/06/13	曇	10	12	7	10	253.8	12	10	56.0	良	1:32.1	2.0	12-12-11-10	0.0-40.4	40.8	水沢	202136061310	レースフラワー賞	movie.html?race_id=202136061310	05087	ダ	1400	487	-2	0.0
2021/06/01	晴	8	9	1	1	18.3	7	5	56.0	良	1:24.2	1.6	8-8-8-7	0.0-39.7	40.1	水沢	202136060108	B1	movie.html?race_id=202136060108	05542	ダ	1300	489	-2	2.8
2021/05/17	曇	9	12	7	9	61.1	12	10	56.0	良	1:31.4	2.2	12-12-12-10	0.0-39.7	40.2	水沢	202136051709	B1	movie.html?race_id=202136051709	05542	ダ	1400	491	6	0.0
2021/04/20	晴	11	11	2	2	181.3	11	9	56.0	良	1:30.6	1.6	9-9-11-10	0.0-39.1	39.3	水沢	202136042011	桜並木賞	movie.html?race_id=202136042011	05382	ダ	1400	485	1	0.0
2021/04/04	小雨	10	11	8	10	28.5	8	6	56.0	稍	1:31.3	0.7	8-9-7-7	0.0-40.9	40.3	水沢	202136040410	B1	movie.html?race_id=202136040410	05382	ダ	1400	484	3	0.0
