	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200410010111	芝	右	1200	晴	良	15:35	秋吉台特別 		2004-1-17	1	小倉	1	4歳以上1000万下	(別定)	5	860	4	5	320	5	15	370	6	2.0	380	7.0	3-7	1480	5	5-15	9760.0	40.0	5-15	2,310	36.0	2-5	1,930	27.0	2-15	1,890	23.0	5=>15	18080	75	2-5-15	26330	101			(*5,15)(2,16)(4,14)1,9(3,12,18)6(11,7,10,13)(17,8)	(*5,15)(2,16)(1,4,9,14)12(3,6)(11,7,18)13(10,17)8	12.0 - 10.5 - 11.3 - 11.4 - 11.6 - 12.5	12.0 - 22.5 - 33.8 - 45.2 - 56.8 - 69.3 (33.8-35.5)
200410010201	ダ	右	1000	晴	重	09:55	3歳未勝利		2004-1-18	1	小倉	2	3歳未勝利	(混)[指](馬齢)	1	750	4	1	200	5	7	170	3	10.0	120	1.0	1-6	2110	10	1-7	1870.0	8.0	1-7	590	7.0	1-10	410	4.0	7-10	290	1.0	1=>7	3520	14	1-7-10	1330	2			3(2,7,10)(1,4,11)(9,12)8(5,6)	3(2,7,10)1-4(8,11)(9,12)(5,6)	12.2 - 10.7 - 11.7 - 12.3 - 13.4	12.2 - 22.9 - 34.6 - 46.9 - 60.3 (34.6-37.4)
200410010202	芝	右	1200	晴	良	10:25	3歳未勝利		2004-1-18	1	小倉	2	3歳未勝利	(混)[指](馬齢)	6	250	1	6	130	1	3	190	2	9.0	320	6.0	2-3	350	1	3-6	740.0	1.0	3-6	300	1.0	6-9	620	5.0	3-9	1,320	17.0	6=>3	1170	1	3-6-9	2480	4			3(6,12)-17,8,13(5,9,16)-(2,4,10)(1,11,7,15)14	(*3,6)12-(8,17)9,5,13(16,10)(2,4)(11,7)(1,15)-14	12.1 - 10.3 - 11.0 - 11.6 - 12.0 - 12.4	12.1 - 22.4 - 33.4 - 45.0 - 57.0 - 69.4 (33.4-36.0)
200410010203	芝	右	1800	晴	良	10:55	3歳未勝利		2004-1-18	1	小倉	2	3歳未勝利	[指](馬齢)	6	360	2	6	170	2	11	130	1	8.0	890	11.0	3-6	370	1	6-11	480.0	1.0	6-11	220	1.0	6-8	4,700	48.0	8-11	2,370	25.0	6=>11	1220	2	6-8-11	11440	34	16(3,14)4(2,8,11)(5,6,12)7,15-1-10-13,9	16,14(3,4,11)12(2,8)5,15,6,7,1(10,13)9	(*16,14,11)(4,12)3(5,8)(15,6)-(7,13)(2,1)9,10	(16,14,*11,12)6(3,5,4)(15,8)13,7,9-1-10-2	12.7 - 11.4 - 12.6 - 12.6 - 12.2 - 12.3 - 12.3 - 12.5 - 12.4	12.7 - 24.1 - 36.7 - 49.3 - 61.5 - 73.8 - 86.1 - 98.6 - 111.0 (36.7-37.2)
200410010204	ダ	右	1000	晴	重	11:25	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	[指](別定)	8	320	1	8	150	1	1	260	5	3.0	440	7.0	1-5	680	2	1-8	1380.0	5.0	1-8	510	4.0	3-8	1,740	22.0	1-3	1,900	23.0	8=>1	2760	10	1-3-8	10530	34			1(2,4)(3,6)(7,13)(5,9)(8,11)-12,10,14	1-(3,2)-(7,4)6(8,13)5,9(11,12)10,14	12.0 - 10.5 - 11.0 - 11.9 - 13.4	12.0 - 22.5 - 33.5 - 45.4 - 58.8 (33.5-36.3)
200410010205	ダ	右	1700	晴	重	11:55	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	[指](別定)	5	350	1	5	140	1	6	690	10	11.0	760	11.0	4-4	6100	22	5-6	5350.0	21.0	5-6	1,790	22.0	5-11	1,580	18.0	6-11	9,170	73.0	5=>6	7410	29	5-6-11	42000	125	(*10,14)11(9,13)(5,6)7,3(1,12)(2,4,8)	(10,*14)11-(9,13)-5,6,7,3(1,12)8(2,4)	(*10,14)-11,5(9,13,6)7(3,8)(1,12)4,2	(*10,14)-11(5,6)9,7(13,8)12,3(1,4)2	6.8 - 11.3 - 11.8 - 12.1 - 12.1 - 12.2 - 12.4 - 13.2 - 13.6	6.8 - 18.1 - 29.9 - 42.0 - 54.1 - 66.3 - 78.7 - 91.9 - 105.5 (29.9-39.2)
200410010206	ダ	右	2400	晴	重	12:45	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	[指](別定)	9	830	4	9	240	5	11	150	1	3.0	240	4.0	5-6	810	2	9-11	1350.0	3.0	9-11	660	4.0	3-9	1,160	13.0	3-11	890	9.0	9=>11	3280	8	3-9-11	4510	11	(14,*15)=9,8(10,13)4(11,12)2(5,1)7-(6,3)	15-14-9(8,10)(4,13)(11,12)(2,5,1)-7-(6,3)	(15,*9)14(11,13)(5,10,12)(4,1)(8,7)(2,3)6	9-15,11,14(4,5)1,13(10,12,3)7,2,6-8	13.0 - 11.4 - 12.6 - 13.3 - 13.3 - 12.9 - 14.2 - 13.3 - 12.4 - 12.2 - 12.7 - 13.0	13.0 - 24.4 - 37.0 - 50.3 - 63.6 - 76.5 - 90.7 - 104.0 - 116.4 - 128.6 - 141.3 - 154.3 (37.0-37.9)
200410010207	芝	右	1800	曇	良	13:15	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	牝[指](別定)	2	910	2	2	280	2	3	650	7	10.0	470	5.0	1-2	4660	13	2-3	7150.0	18.0	2-3	1,460	12.0	2-10	1,720	16.0	3-10	5,330	45.0	2=>3	14210	31	2-3-10	42770	105	(4,*8,9,15)(7,11,14)2(5,10)12,13(3,6)(1,16)	(4,*8)(9,15)7(2,11)14,10(5,12)13(3,6)(1,16)	(*8,9)(4,7,11,15)(2,10,14,12)(3,13)(5,6)(1,16)	(*8,9)(4,7,11,10)(2,3,12)(1,6,13)15(5,16,14)	12.7 - 11.4 - 12.0 - 11.9 - 11.9 - 12.2 - 12.1 - 12.4 - 12.5	12.7 - 24.1 - 36.1 - 48.0 - 59.9 - 72.1 - 84.2 - 96.6 - 109.1 (36.1-37.0)
200410010208	芝	右	1200	晴	良	13:45	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	(混)[指](別定)	8	1080	4	8	430	7	18	150	1	2.0	890	11.0	4-8	720	2	8-18	3360.0	12.0	8-18	1,380	14.0	2-8	6,760	69.0	2-18	1,780	19.0	8=>18	9130	30	2-8-18	34440	110			(*8,14)(15,18)(2,5,7,10,16)17(1,6)(9,13)(4,3,11)-12	(*8,14,18)(2,7)(15,10,16)(1,5)(6,17)9(3,13)(4,11)12	12.0 - 10.3 - 11.1 - 11.7 - 11.7 - 12.5	12.0 - 22.3 - 33.4 - 45.1 - 56.8 - 69.3 (33.4-35.9)
200410010209	芝	右	1800	晴	良	14:20	4歳以上500万下		2004-1-18	1	小倉	2	4歳以上500万下	[指](別定)	1	1640	7	1	310	5	11	180	3	10.0	160	2.0	1-6	2290	8	1-11	4440.0	16.0	1-11	1,400	14.0	1-10	1,390	13.0	10-11	400	3.0	1=>11	11150	38	1-10-11	5110	13	(*10,11)(2,5,6,13)-(3,8,9)1(14,15)4-12,7	10,11(2,6,13)5(8,9)3(1,15)-(4,14)12,7	(*10,11)(6,13)2(5,9)(1,3,8)15(7,4)12,14	(*10,11)(2,6)(1,5,13)(3,15)(7,9)(8,4)14,12	12.5 - 11.5 - 12.2 - 11.8 - 11.7 - 12.0 - 12.0 - 12.2 - 12.9	12.5 - 24.0 - 36.2 - 48.0 - 59.7 - 71.7 - 83.7 - 95.9 - 108.8 (36.2-37.1)
