	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200402010111	芝	右	1200	曇	良	15:30	TVh杯 		2004-6-19	1	函館	1	3歳以上1000万下	(混)[指](ハンデ)	9	1460	6	9	340	6	7	160	2	4.0	270	4.0	7-8	1120	4	9=>7	7110	28	4-7-9	8130	30			(*7,1)(5,3,9)(10,6)(8,4)2	7(5,1)(3,9)(6,4)(8,10,2)	12.2 - 10.5 - 11.3 - 11.7 - 11.6 - 12.6	12.2 - 22.7 - 34.0 - 45.7 - 57.3 - 69.9 (34.0-35.9)	7-9	2870.0	12.0	7-9	950	11.0	4-9	1,700	21.0	4-7	730	7.0
200402010201	ダ	右	1700	曇	良	09:55	3歳未勝利		2004-6-20	1	函館	2	3歳未勝利	[指](馬齢)	6	220	1	6	120	2	8	110	1	7.0	150	3.0	6-8	240	1	6=>8	440	1	6-7-8	550	2	5(3,7)4,8,2-6=1	5,7(3,4)-8-2-6=1	(5,*7,6)(4,1)(3,8)2	(7,*6)8,5-4-1(3,2)	7.1 - 11.2 - 11.6 - 13.5 - 13.6 - 13.4 - 12.7 - 12.4 - 12.6	7.1 - 18.3 - 29.9 - 43.4 - 57.0 - 70.4 - 83.1 - 95.5 - 108.1 (29.9-37.7)												
200402010202	ダ	右	1000	雨	良	10:25	3歳未勝利		2004-6-20	1	函館	2	3歳未勝利	(混)[指](馬齢)	3	510	2	3	120	2	2	110	1	8.0	160	4.0	2-3	490	2	3=>2	1050	3	2-3-8	780	1			(*1,2)8(3,6,10)7(4,5)9	(*1,2)(3,8)-(7,6,10)5-(4,9)	12.6 - 11.1 - 11.9 - 12.0 - 12.7	12.6 - 23.7 - 35.6 - 47.6 - 60.3 (35.6-36.6)	2-3	530.0	2.0	2-3	220	2.0	3-8	490	8.0	2-8	210	1.0
200402010203	ダ	右	1700	雨	良	10:55	3歳未勝利		2004-6-20	1	函館	2	3歳未勝利	[指](馬齢)	8	400	2	8	190	4	2	130	1	11.0	670	10.0	2-7	370	1	8=>2	1240	4	2-8-11	7880	24	(4,*10)9(2,5,7)-(1,3,6,11)-8	10,4(2,9)(1,5)(6,7)(11,8)3	(10,4,*2)(1,9)5,8-(7,11)6,3	(*10,4,2)1(5,8)9(7,11)-3,6	7.0 - 11.0 - 11.5 - 12.5 - 13.2 - 13.1 - 13.4 - 13.4 - 13.6	7.0 - 18.0 - 29.5 - 42.0 - 55.2 - 68.3 - 81.7 - 95.1 - 108.7 (29.5-40.4)	2-8	480.0	1.0	2-8	220	1.0	8-11	3,060	29.0	2-11	1,370	17.0
200402010204	芝	右	2000	雨	良	11:25	3歳未勝利		2004-6-20	1	函館	2	3歳未勝利	[指](馬齢)	4	330	1	4	130	1	9	270	6	5.0	190	4.0	4-6	510	2	4=>9	2910	10	4-5-9	4330	16	(*5,7,11)(3,6,12)(4,9,13)(1,2,10)-8	5,7(3,11)(6,12)(4,9,13)(1,2,10)-8	5(3,7,11)(6,12)(4,10)(9,8)(1,2,13)	5,3,4,7(6,9,11,10)(1,2,13,8)12	12.5 - 11.3 - 11.8 - 12.7 - 13.0 - 13.2 - 12.7 - 12.6 - 12.2 - 12.8	12.5 - 23.8 - 35.6 - 48.3 - 61.3 - 74.5 - 87.2 - 99.8 - 112.0 - 124.8 (35.6-37.6)	4-9	1700.0	7.0	4-9	750	11.0	4-5	410	2.0	5-9	1,600	21.0
200402010205	芝	右	1200	雨	良	11:55	2歳新馬		2004-6-20	1	函館	2	2歳新馬	(混)[指](馬齢)	1	300	2	1	120	3	4	130	4	8.0	120	2.0	1-4	580	3	1=>4	1040	6	1-4-8	720	4			4,8,1(3,5)-(7,2)-6	(*4,8)1,3(5,7)-(6,2)	12.4 - 11.1 - 11.6 - 12.1 - 11.7 - 12.4	12.4 - 23.5 - 35.1 - 47.2 - 58.9 - 71.3 (35.1-36.2)												
200402010206	ダ	右	1700	曇	良	12:45	3歳以上500万下		2004-6-20	1	函館	2	3歳以上500万下	牝[指](定量)	8	180	1	8	120	1	12	760	9	3.0	580	7.0	6-8	1590	6	8=>12	3630	11	3-8-12	38230	86	10(5,12,13)(1,8)(4,11)2(3,6,9)-7	10(12,13)5,8(1,2,4,11)-6,3(7,9)	(*10,12)(5,8)-(2,13,11)1,4,3-7-(9,6)	12(10,8)5-(2,11)-(1,3)(13,4)-7-9=6	6.9 - 11.0 - 11.8 - 12.7 - 13.0 - 12.9 - 12.9 - 12.6 - 13.0	6.9 - 17.9 - 29.7 - 42.4 - 55.4 - 68.3 - 81.2 - 93.8 - 106.8 (29.7-38.5)	8-12	3120.0	8.0	8-12	1,210	11.0	3-8	1,370	13.0	3-12	12,140	64.0
200402010207	ダ	右	1000	曇	良	13:15	3歳以上500万下		2004-6-20	1	函館	2	3歳以上500万下	(混)[指](定量)	2	300	1	2	130	2	7	130	1	11.0	320	6.0	2-6	490	2	2=>7	1240	3	2-7-11	3330	13			(*2,11)(5,7)10(6,12)(1,4,8)3,9	(*2,11)(5,7)10-(6,12)(1,4,3,8)-9	12.4 - 10.6 - 11.5 - 11.9 - 12.7	12.4 - 23.0 - 34.5 - 46.4 - 59.1 (34.5-36.1)	2-7	630.0	2.0	2-7	280	2.0	2-11	650	5.0	7-11	1,110	18.0
200402010208	ダ	右	1700	曇	良	13:45	3歳以上500万下		2004-6-20	1	函館	2	3歳以上500万下	(特指)(定量)	8	410	3	8	180	4	4	150	2	6.0	170	3.0	4-6	840	5	8=>4	1910	8	4-6-8	1180	2	6(1,4,11)10(2,8)3,7(12,9)-5-13	6,4(1,11)(10,8)(3,2)7(12,9)-5-13	(*6,4)(11,8)9(1,2,7)10,3(12,13,5)	(*6,4)11,8(1,2)(7,9)10-3,13,12-5	6.9 - 11.3 - 11.8 - 13.1 - 13.4 - 12.9 - 12.6 - 12.1 - 12.6	6.9 - 18.2 - 30.0 - 43.1 - 56.5 - 69.4 - 82.0 - 94.1 - 106.7 (30.0-37.3)	4-8	930.0	3.0	4-8	340	2.0	6-8	350	4.0	4-6	350	3.0
200402010209	芝	右	1200	曇	良	14:20	3歳以上500万下		2004-6-20	1	函館	2	3歳以上500万下	(特指)(定量)	4	330	1	4	150	1	7	1,400	14	3.0	240	4.0	2-4	640	1	4=>7	24950	81	3-4-7	32810	104			14,15(3,4)(2,9,10,12)(1,8)16(5,7)(6,13,11)	(*14,15)(3,4,9)(2,8)(1,10)(13,7,16,12)(5,11)6	12.2 - 10.6 - 11.3 - 12.1 - 12.2 - 12.2	12.2 - 22.8 - 34.1 - 46.2 - 58.4 - 70.6 (34.1-36.5)	4-7	16010.0	50.0	4-7	5,350	56.0	3-4	570	3.0	3-7	6,970	64.0
