	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200404010101	ダ	左	1800	曇	良	09:55	3歳未勝利		2004-5-1	1	新潟	1	3歳未勝利	(馬齢)	6	340	2	6	100	2	8	220	5	3.0	100	1.0	6-8	2870	7	6=>8	4510	15	3-6-8	750	3	(2,*3)7-(6,8)-5,4-1	3,2(6,7)8(5,4)-1	3(6,2,7)(8,4)(5,1)	3(6,2,7)(8,4)(5,1)	13.0 - 11.4 - 12.7 - 14.0 - 13.4 - 13.2 - 13.3 - 12.8 - 13.2	13.0 - 24.4 - 37.1 - 51.1 - 64.5 - 77.7 - 91.0 - 103.8 - 117.0 (37.1-39.3)												
200404010102	芝	左	1800	晴	良	10:25	3歳未勝利		2004-5-1	1	新潟	1	3歳未勝利	(馬齢)	7	390	2	7	120	2	9	160	4	5.0	110	1.0	7-8	1270	5	7=>9	2300	11	5-7-9	930	2			2(1,6)(3,7)9(4,5,8)	(*2,6,7)(1,3,9)(4,5,8)	12.9 - 11.8 - 12.4 - 13.8 - 13.9 - 12.5 - 11.3 - 10.7 - 11.3	12.9 - 24.7 - 37.1 - 50.9 - 64.8 - 77.3 - 88.6 - 99.3 - 110.6 (37.1-33.3)	7-9	1220.0	5.0	7-9	390.0	5.0	5-7	230.0	1.0	5-9	340.0	4.0
200404010103	芝	直	1000	晴	良	10:55	3歳未勝利		2004-5-1	1	新潟	1	3歳未勝利	牝(馬齢)	6	1090	5	6	290	6	15	230	3	8.0	130	1.0	3-8	3080	15	6=>15	8180	36	6-8-15	4220	15					12.0 - 10.4 - 10.6 - 10.4 - 12.1	12.0 - 22.4 - 33.0 - 43.4 - 55.5 (33.0-33.1)	6-15	3780.0	19.0	6-15	1,330	20.0	6-8	570.0	6.0	8-15	430.0	2.0
200404010104	芝	左	1400	晴	良	11:25	3歳未勝利		2004-5-1	1	新潟	1	3歳未勝利	(馬齢)	13	440	2	13	200	5	5	310	6	10.0	180	2.0	4-8	760	3	13=>5	6430	30	5-10-13	6670	22			3(5,6)(8,12)(10,11)2,14,9,13(4,7)-1	(*3,6)(5,12)10(2,8,11)(9,14,13)(4,7)-1	12.4 - 10.7 - 11.5 - 12.2 - 12.3 - 12.0 - 12.3	12.4 - 23.1 - 34.6 - 46.8 - 59.1 - 71.1 - 83.4 (34.6-36.6)	5-13	3380.0	17.0	5-13	1,160	16.0	10-13	700.0	9.0	5-10	880.0	12.0
200404010105	ダ	左	1200	晴	良	11:55	3歳未勝利		2004-5-1	1	新潟	1	3歳未勝利	(混)(馬齢)	4	700	5	4	210	5	11	130	1	10.0	190	3.0	3-6	360	1	4=>11	2560	7	4-10-11	2260	4			4-(13,11)2(1,8)14(3,10)(7,9)(5,6,15)=12	4,11-13(2,8)-1(3,14)10,15(7,9)(5,6)-12	12.3 - 10.8 - 11.6 - 12.5 - 12.0 - 13.3	12.3 - 23.1 - 34.7 - 47.2 - 59.2 - 72.5 (34.7-37.8)	4-11	1380.0	4.0	4-11	570	7.0	4-10	650.0	8.0	10-11	410.0	1.0
200404010106	ダ	左	1200	晴	良	12:45	4歳以上500万下		2004-5-1	1	新潟	1	4歳以上500万下	(混)(別定)	2	1650	8	2	530	8	15	520	7	14.0	2,010	13.0	2-8	4630	18	2=>15	15880	65	2-14-15	90060	194			7(8,10)(9,13)(4,15)(1,5,11)14(3,6,12)2	(*7,8)(10,13)9,15,5(4,6,12)(1,14)(3,11)2	12.3 - 10.8 - 11.6 - 13.0 - 12.4 - 13.3	12.3 - 23.1 - 34.7 - 47.7 - 60.1 - 73.4 (34.7-38.7)	2-15	7560.0	32.0	2-15	1,760	23.0	2-14	10,310	70.0	14-15	8,030	62.0
200404010107	ダ	左	1800	晴	良	13:15	4歳以上500万下		2004-5-1	1	新潟	1	4歳以上500万下	(別定)	1	4130	12	1	730	11	11	180	3	3.0	350	5.0	1-6	11880	27	1=>11	31360	88	1-3-11	28800	96	3,1(2,8)(6,11)4(13,7)(10,5)(9,15)-(14,12)	3,1-(2,8)(4,6,11)(13,7)(10,5)(9,15)14,12	3,1(4,2,8)(6,11)(13,7)-(9,10,5)(15,14)12	3,1,2(8,11)6(4,13)7(9,10)5(15,12,14)	12.5 - 11.5 - 12.5 - 12.9 - 12.9 - 12.5 - 12.5 - 12.4 - 13.2	12.5 - 24.0 - 36.5 - 49.4 - 62.3 - 74.8 - 87.3 - 99.7 - 112.9 (36.5-38.1)	1-11	9060.0	36.0	1-11	2,780	33.0	1-3	4,910	53.0	3-11	1,210	11.0
200404010108	芝	左	1800	晴	良	13:45	4歳以上500万下		2004-5-1	1	新潟	1	4歳以上500万下	牝(別定)	10	520	3	10	180	3	5	130	1	11.0	940	11.0	5-7	450	1	10=>5	1410	4	5-10-11	7940	25			6-(7,10)-8(5,9)(3,4,11)(1,2,12)	6-(7,10)8,5(3,4,9,11)(1,2,12)	12.7 - 11.2 - 11.6 - 12.2 - 12.3 - 12.3 - 11.9 - 11.1 - 11.8	12.7 - 23.9 - 35.5 - 47.7 - 60.0 - 72.3 - 84.2 - 95.3 - 107.1 (35.5-34.8)	5-10	550.0	2.0	5-10	270	2.0	10-11	3,000	32.0	5-11	2,180	24.0
200404010109	芝	直	1000	晴	良	14:20	4歳以上500万下		2004-5-1	1	新潟	1	4歳以上500万下	(別定)	16	3610	12	16	440	10	15	200	2	5.0	120	1.0	8-8	6450	19	16=>15	14520	50	5-15-16	4750	12					12.0 - 10.1 - 10.7 - 10.4 - 12.1	12.0 - 22.1 - 32.8 - 43.2 - 55.3 (32.8-33.2)	15-16	6160.0	22.0	15-16	1,490	15.0	5-16	1,180	10.0	5-15	320	1.0
200404010110	芝	左	2400	晴	良	14:55	荒川峡特別 		2004-5-1	1	新潟	1	4歳以上500万下	(混)(別定)	7	320	2	7	130	2	8	120	1	2.0	200	5.0	6-7	340	1	7=>8	800	2	2-7-8	1210	3	7,8-(2,11)(1,9,10)(5,3)4,6	7,8-2,11-(1,9)(5,10)3-(4,6)	7,8(2,11)-(1,9,5)-(4,3)10,6	7,8,2,11,5(1,9)(4,3)-(6,10)	12.3 - 12.2 - 12.0 - 12.4 - 12.5 - 12.9 - 12.3 - 12.5 - 12.1 - 11.5 - 11.1 - 12.2	12.3 - 24.5 - 36.5 - 48.9 - 61.4 - 74.3 - 86.6 - 99.1 - 111.2 - 122.7 - 133.8 - 146.0 (36.5-34.8)	7-8	350.0	1.0	7-8	170	1.0	2-7	600	8.0	2-8	490	6.0
200404010111	ダ	左	1800	晴	良	15:30	中ノ岳特別 		2004-5-1	1	新潟	1	4歳以上1000万下	(混)(ハンデ)	6	610	3	6	210	4	15	240	5	12.0	190	2.0	4-8	3250	20	6=>15	7200	34	6-12-15	7960	34	(*1,12)(3,9)(7,14)(5,11)-(2,6)(4,8)(10,15)13	(1,*12)(3,9)(7,14)(5,11)-(2,6)-4(13,8)(10,15)	12,9,1,14,3(5,7,11)6,2(4,15)(13,8)10	(*12,9)-1,14(3,6)11(5,7,2,15)4(13,8)10	12.5 - 10.9 - 12.2 - 12.5 - 12.8 - 12.6 - 12.8 - 12.8 - 12.7	12.5 - 23.4 - 35.6 - 48.1 - 60.9 - 73.5 - 86.3 - 99.1 - 111.8 (35.6-38.3)	6-15	3730.0	19.0	6-15	1,370	22.0	6-12	810	9.0	12-15	1,260	19.0
200404010112	芝	左	1400	晴	良	16:10	湯沢特別 		2004-5-1	1	新潟	1	4歳以上500万下	(混)(別定)	10	310	2	10	140	1	5	390	7	1.0	170	3.0	3-5	670	2	10=>5	2830	8	1-5-10	3640	9			(*10,16)15(13,5)14(2,6,9)(7,8,11)1,3,4-12	(*10,16)(15,5)(13,14)9(2,6)(7,8)-(1,11)3,4,12	12.4 - 10.8 - 11.5 - 11.9 - 11.6 - 11.7 - 11.7	12.4 - 23.2 - 34.7 - 46.6 - 58.2 - 69.9 - 81.6 (34.7-35.0)	5-10	1820.0	5.0	5-10	740	5.0	1-10	410	3.0	1-5	1,140	15.0
200404010201	ダ	左	1800	晴	良	09:50	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	[指](馬齢)	2	340	2	2	140	2	5	480	6	1.0	200	4.0	2-5	3180	12	2=>5	4300	19	1-2-5	3950	14	5(1,7)4(2,8)3,6	5(1,7)4(2,8)-3,6	5(7,8)1,4,2(3,6)	5(7,8)1,4,2(3,6)	12.9 - 12.3 - 13.0 - 13.5 - 13.1 - 12.9 - 12.5 - 12.4 - 12.8	12.9 - 25.2 - 38.2 - 51.7 - 64.8 - 77.7 - 90.2 - 102.6 - 115.4 (38.2-37.7)												
200404010202	芝	左	2200	晴	良	10:15	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	(混)[指](馬齢)	2	140	1	2	110	1	1	200	4	7.0	160	3.0	1-2	680	3	2=>1	950	3	1-2-7	1410	5	6,8,5(2,3)-(4,7)1	(*6,8)5(2,3)(4,7)1	(*8,2,1)6,5,7,4,3	(*2,1)8-6,5,7,4-3	12.6 - 10.8 - 11.5 - 12.4 - 12.8 - 12.7 - 12.6 - 12.0 - 11.7 - 12.0 - 12.6	12.6 - 23.4 - 34.9 - 47.3 - 60.1 - 72.8 - 85.4 - 97.4 - 109.1 - 121.1 - 133.7 (34.9-36.3)												
200404010203	ダ	左	1200	晴	良	10:45	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	[指](馬齢)	11	580	3	11	200	3	4	200	4	9.0	820	9.0	4-8	930	4	11=>4	3060	14	4-9-11	19480	56			(*4,9)-(1,11)(5,8)(10,3,12)-(2,7)-6	(*4,9)11,1,8(5,3,12)10(2,7)-6	12.5 - 10.9 - 11.9 - 12.5 - 12.3 - 13.2	12.5 - 23.4 - 35.3 - 47.8 - 60.1 - 73.3 (35.3-38.0)	4-11	1500.0	6.0	4-11	590	6.0	9-11	1,720	22.0	4-9	4,280	41.0
