	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連単:的中	三連単:配当	三連単:人気
200401010307	ダ	右	1700	曇	重	14:15	3歳以上500万下		2004-8-21	1	札幌	3	3歳以上500万下	[指](別定)	5	200	1	5	120	1	8	210	3	2.0	330	7.0	4-6	640	2	5=>8	970	2	2-5-8	3290	8	5(1,11,6)(9,10)4(7,13)3-(2,12)-8	5(1,11,6)(4,9,10)-(3,7,13)(2,12)-8	5(1,11,6,12)(4,9,10,7)(3,8)(2,13)	5-12(1,7)(4,8)6(9,11,3,2)-(10,13)	6.8 - 11.2 - 11.9 - 12.4 - 12.5 - 12.2 - 12.5 - 12.6 - 13.8	6.8 - 18.0 - 29.9 - 42.3 - 54.8 - 67.0 - 79.5 - 92.1 - 105.9 (29.9-38.9)	5-8	800.0	2.0	5-8	350	2.0	2-5	630	5.0	2-8	1,430	17.0			
200401010308	ダ	右	1000	曇	重	14:50	3歳以上500万下		2004-8-21	1	札幌	3	3歳以上500万下	(混)[指](別定)	3	3120	7	3	520	8	7	430	5	2.0	220	3.0	3-6	5480	14	3=>7	54040	70	2-3-7	30030	63			7(2,5,8,10)(1,12)11(3,9)(4,6)	7-(2,5,8)10-(3,12,11)1(4,6)9	12.2 - 10.7 - 11.4 - 11.7 - 12.8	12.2 - 22.9 - 34.3 - 46.0 - 58.8 (34.3-35.9)	3-7	25190.0	33.0	3-7	4,130	32.0	2-3	1,730	19.0	2-7	1,330	11.0			
200401010309	ダ	右	1700	曇	重	15:25	報知杯大雪ハンデ 		2004-8-21	1	札幌	3	3歳以上1600万下	(混)[指](ハンデ)	3	1670	4	3	340	5	9	430	7	7.0	150	2.0	3-8	5370	13	3=>9	26790	42	3-7-9	11910	33	7,3(9,10)(2,6)(1,5)-(4,8)	7,3(9,10)(2,6)(1,5)-4,8	(7,3,*5)10(9,1)(2,6)4-8	3,7-(9,5)1(2,6)(10,4)-8	6.9 - 11.3 - 11.8 - 12.8 - 12.6 - 12.1 - 11.6 - 11.8 - 12.7	6.9 - 18.2 - 30.0 - 42.8 - 55.4 - 67.5 - 79.1 - 90.9 - 103.6 (30.0-36.1)	3-9	9310.0	21.0	3-9	1,830	17.0	3-7	910	8.0	7-9	1,190	12.0	3=>9=>7	78150.0	203.0
200401010310	ダ	右	1700	雨	不良	16:05	3歳以上500万下		2004-8-21	1	札幌	3	3歳以上500万下	[指](別定)	3	780	3	3	220	4	10	220	5	9.0	120	1.0	3-7	2890	11	3=>10	5940	20	3-9-10	1840	5	(*6,10)(2,11)3-(7,13)(4,8,12)9-1,5	(6,*10)(2,11)3-(7,8)(4,9,13)12-(1,5)	10(2,11,3)-(7,8)9-(12,5)(6,4)-1,13	(*10,3)-(2,9)(11,8)(7,12)(4,5)-1-6,13	6.8 - 10.8 - 11.7 - 12.3 - 12.1 - 12.5 - 12.4 - 12.1 - 12.6	6.8 - 17.6 - 29.3 - 41.6 - 53.7 - 66.2 - 78.6 - 90.7 - 103.3 (29.3-37.1)	3-10	3310.0	11.0	3-10	890	10.0	3-9	350	4.0	9-10	310	2.0			
200401010311	芝	右	2600	雨	重	16:40	支笏湖特別 		2004-8-21	1	札幌	3	3歳以上1000万下	(混)[指](ハンデ)	3	210	1	3	120	1	2	610	9	5.0	220	5.0	2-3	5150	16	3=>2	6370	21	2-3-5	10900	37	(*5,4)(3,8)(6,10)(2,11,7)1-9	(*5,4)(3,8)(2,6,10)(1,11,7)-9	(*5,4)(3,8)(2,6,10,7)11(1,9)	(*5,4)(3,8)2(1,6)(11,10,7)9	13.3 - 12.5 - 12.8 - 13.1 - 12.9 - 13.2 - 13.7 - 13.3 - 13.1 - 12.1 - 11.6 - 11.8 - 12.2	13.3 - 25.8 - 38.6 - 51.7 - 64.6 - 77.8 - 91.5 - 104.8 - 117.9 - 130.0 - 141.6 - 153.4 - 165.6 (38.6-35.6)	2-3	4170.0	17.0	2-3	1,280	16.0	3-5	400	4.0	2-5	3,640	36.0			
200401010312	芝	右	1200	雨	重	17:10	まりも特別 		2004-8-21	1	札幌	3	3歳以上500万下	(混)[指](別定)	5	540	3	5	180	3	3	490	8	10.0	130	1.0	2-3	3610	14	5=>3	8240	25	3-5-10	4400	11			5(13,4)(1,10)(7,8,12,14)(3,9,11)(2,6,15)	5(13,10)1,4(3,7,8,14,11)(2,9,12)(6,15)	12.3 - 11.3 - 11.4 - 11.6 - 11.9 - 12.7	12.3 - 23.6 - 35.0 - 46.6 - 58.5 - 71.2 (35.0-36.2)	3-5	4790.0	15.0	3-5	1,410	13.0	5-10	320	2.0	3-10	1,190	11.0	5=>3=>10	31840.0	78.0
200401010401	ダ	右	1000	晴	重	10:55	2歳未勝利		2004-8-22	1	札幌	4	2歳未勝利	(混)[指](馬齢)	5	190	1	5	100	1	8	150	4	9.0	120	2.0	5-8	180	1	5=>8	1140	5	5-8-9	640	2			(*5,8)(2,6)9-7-(1,4) 3	5(2,6,8,9)-7-(1,4) 3	12.5 - 11.0 - 11.8 - 12.0 - 12.3	12.5 - 23.5 - 35.3 - 47.3 - 59.6 (35.3-36.1)	5-8	850.0	4.0	5-8	260	4.0	5-9	160	1.0	8-9	430	6.0			
200401010402	ダ	右	1000	晴	重	11:25	3歳未勝利		2004-8-22	1	札幌	4	3歳未勝利	(混)[指](馬齢)	9	600	3	9	170	2	8	270	6	4.0	120	1.0	6-7	2090	10	9=>8	6280	28	4-8-9	2710	11			(7,*8,9)-(3,4)(6,10,12)5,2,1-11	(8,*9)7(3,4)-10(6,2,12)5,1-11	12.5 - 10.7 - 11.7 - 12.3 - 12.7	12.5 - 23.2 - 34.9 - 47.2 - 59.9 (34.9-36.7)	8-9	4100.0	17.0	8-9	1,040	16.0	4-9	230	1.0	4-8	580	8.0			
200401010403	芝	右	1800	晴	稍重	11:55	2歳新馬		2004-8-22	1	札幌	4	2歳新馬	[指](馬齢)	4	2420	5	4	470	6	9	130	2	2.0	230	4.0	3-6	250	1	4=>9	9950	24	2-4-9	5660	15	(*3,7)(1,2,6)(10,14)9-11(4,5,12)=13 8	(*3,7)-(1,2)6(9,10,14)(4,11)(5,12)=13 8	(*3,7)(2,6)(1,10,14)9(4,11)(5,12)=13 8	(*3,7,2)(6,14)(1,10,9)4-11-(5,12)=13 8	12.9 - 12.3 - 12.9 - 12.7 - 12.9 - 12.4 - 11.9 - 12.3 - 12.1	12.9 - 25.2 - 38.1 - 50.8 - 63.7 - 76.1 - 88.0 - 100.3 - 112.4 (38.1-36.3)	4-9	2990.0	8.0	4-9	1,100	13.0	2-4	1,950	15.0	2-9	510	5.0			
200401010404	ダ	右	1700	晴	重	12:45	3歳未勝利		2004-8-22	1	札幌	4	3歳未勝利	[指](馬齢)	9	230	1	9	120	1	8	360	6	4.0	210	3.0	6-6	1550	7	9=>8	1940	6	4-8-9	3720	11	(*3,8)(2,4,12)1-13(7,6,9,11)10,5	(3,*8,12)4,2,1(7,6,9,11,13)(5,10)	(*8,12)(4,2)(3,11)-1(6,5,9)7-10=13	8(4,12)(2,11)9,1-(5,7)6-(3,10)=13	6.9 - 11.2 - 12.1 - 12.4 - 12.5 - 12.8 - 13.2 - 13.6 - 13.8	6.9 - 18.1 - 30.2 - 42.6 - 55.1 - 67.9 - 81.1 - 94.7 - 108.5 (30.2-40.6)	8-9	1550.0	6.0	8-9	560	6.0	4-9	430	3.0	4-8	1,830	20.0			
200401010405	芝	右	1200	晴	稍重	13:15	3歳未勝利		2004-8-22	1	札幌	4	3歳未勝利	[指](馬齢)	12	340	2	12	140	2	5	130	1	6.0	220	5.0	3-7	540	3	12=>5	1470	6	5-6-12	2040	3			(*4,12)15(5,14)(8,13)(6,7,11)10(2,3,9)1	(4,*12)5(6,15)(8,14)(13,11)(7,10)9(2,3)1	12.4 - 11.0 - 11.3 - 11.8 - 11.9 - 12.8	12.4 - 23.4 - 34.7 - 46.5 - 58.4 - 71.2 (34.7-36.5)	5-12	720.0	3.0	5-12	270	1.0	6-12	610	6.0	5-6	560	5.0			
200401010406	ダ	右	1000	晴	重	13:45	3歳以上500万下		2004-8-22	1	札幌	4	3歳以上500万下	牝[指](別定)	1	1930	6	1	420	7	3	2,070	11	10.0	140	1.0	1-3	30460	32	1=>3	129350	107	1-3-10	65560	109			(*4,10,11)-(1,8)(5,7)6(3,9,12)-2	(*4,10)11-1(5,7,6)(8,3,12)-9-2	12.2 - 10.6 - 11.6 - 12.3 - 13.5	12.2 - 22.8 - 34.4 - 46.7 - 60.2 (34.4-37.4)	1-3	76170.0	60.0	1-3	9,490	51.0	1-10	790	10.0	3-10	5,960	43.0			
200401010407	ダ	右	1700	晴	重	14:15	3歳以上500万下		2004-8-22	1	札幌	4	3歳以上500万下	[指](別定)	5	960	5	5	300	5	13	160	2	10.0	290	4.0	4-8	1610	8	5=>13	4540	18	5-10-13	4010	11	6,10,4-12,7(2,8)-(5,9)(1,3)13,11	6-10-4(7,12)(2,8)5(1,3,9)-13,11	(6,*10)(4,12)(7,8)(2,3,5)9,1,13-11	10(4,12)5(6,8)(2,3,9)-(7,13)-11,1	7.0 - 11.0 - 11.9 - 12.6 - 12.4 - 12.7 - 12.5 - 13.0 - 13.3	7.0 - 18.0 - 29.9 - 42.5 - 54.9 - 67.6 - 80.1 - 93.1 - 106.4 (29.9-38.8)	5-13	1790.0	6.0	5-13	780	7.0	5-10	1,100	15.0	10-13	580	5.0			
200401010408	芝	右	1800	晴	良	14:50	ジャングルポケットM 		2004-8-22	1	札幌	4	3歳以上500万下	(混)(特指)(別定)	5	480	2	5	200	2	3	270	6	6.0	270	4.0	3-4	700	3	5=>3	4470	16	3-5-6	6590	27	(*5,11)(3,13)(4,9)(2,12)(6,14)8-1,7,10	5,11(3,13)(2,4,9)(6,12,14)8-1(7,10)	5,11(3,13)(2,4,9)14(6,12)(8,10)-1-7	5,3(6,11,2,4,14)12(13,8)(1,10,9)=7	12.9 - 11.5 - 12.2 - 12.3 - 12.2 - 11.8 - 11.8 - 12.0 - 13.0	12.9 - 24.4 - 36.6 - 48.9 - 61.1 - 72.9 - 84.7 - 96.7 - 109.7 (36.6-36.8)	3-5	2290.0	9.0	3-5	850	9.0	5-6	890	10.0	3-6	1,120	19.0			
200401010409	芝	右	2000	晴	良	15:25	札幌記念	G2	2004-8-22	1	札幌	4	3歳以上オープン	(混)(特指)(別定)	6	220	1	6	110	1	3	110	2	11.0	140	3.0	3-6	360	1	6=>3	670	1	3-6-11	540	1	11-3,4-10,2(5,9)1,8-7-6	11(3,4)10,2(5,9)1(7,8)-6	11,3(10,4)(2,9,1)5,7,8,6	11,3-(10,1)-6(5,2,4,9)(7,8)	12.9 - 11.1 - 11.6 - 12.2 - 12.1 - 12.3 - 12.1 - 11.7 - 11.8 - 12.6	12.9 - 24.0 - 35.6 - 47.8 - 59.9 - 72.2 - 84.3 - 96.0 - 107.8 - 120.4 (35.6-36.1)	3-6	360.0	1.0	3-6	160	1.0	6-11	230	2.0	3-11	240	3.0	6=>3=>11	2270.0	2.0
200401010410	芝	右	2600	晴	良	16:05	3歳以上500万下		2004-8-22	1	札幌	4	3歳以上500万下	(特指)(別定)	9	710	2	9	190	4	13	520	8	12.0	100	1.0	6-8	200	1	9=>13	13490	34	9-12-13	3560	13	6(4,11,13)(7,8)(5,12,10)9(2,1,3)	6(11,13)(4,8)(5,7,10)12(9,3)(2,1)	(*6,13)(4,8)(9,5,12)(2,7,1)11,3,10	(6,*13)(12,1)(9,4)(5,8,7)=(11,3)=10 2	13.6 - 11.8 - 12.2 - 13.5 - 13.1 - 13.3 - 13.1 - 12.5 - 12.4 - 11.9 - 12.0 - 12.1 - 12.7	13.6 - 25.4 - 37.6 - 51.1 - 64.2 - 77.5 - 90.6 - 103.1 - 115.5 - 127.4 - 139.4 - 151.5 - 164.2 (37.6-36.8)	9-13	8060.0	21.0	9-13	2,160	23.0	9-12	210	1.0	12-13	700	8.0			
200401010411	ダ	右	1700	晴	稍重	16:40	スポニチオーロラ特別 		2004-8-22	1	札幌	4	3歳以上1000万下	(混)[指](別定)	7	230	1	7	110	1	2	120	2	8.0	130	3.0	2-5	490	1	7=>2	790	1	2-7-8	730	1	6,13-(1,8)7(2,3,11)(4,9)-12-10-5	(6,*13)=1(8,7)(2,11)(3,4)(12,9)-10-5	13(6,8,7)(1,2,3,4)(9,11,12)-10,5	(*8,7)(13,2,3,4,12)(9,5)11(1,10)-6	6.8 - 11.2 - 11.7 - 11.7 - 12.1 - 13.1 - 13.1 - 12.8 - 13.0	6.8 - 18.0 - 29.7 - 41.4 - 53.5 - 66.6 - 79.7 - 92.5 - 105.5 (29.7-38.9)	2-7	490.0	1.0	2-7	190	1.0	7-8	220	2.0	2-8	320	3.0			
200401010412	芝	右	1500	晴	良	17:10	ポプラ特別 		2004-8-22	1	札幌	4	3歳以上1000万下	(混)(特指)(別定)	7	2390	7	7	470	7	5	180	2	3.0	380	6.0	4-5	2960	13	7=>5	12860	38	3-5-7	18960	50		(*1,2)3(6,14)-5(4,7,13)(9,8,11,12)10	(*1,2)3-(6,14,5)(4,9,7)(8,13,11)12,10	(*2,3)(1,5)(6,7)(9,14)13(4,11,10)(8,12)	6.8 - 11.1 - 11.2 - 11.6 - 11.8 - 12.0 - 12.2 - 12.4	6.8 - 17.9 - 29.1 - 40.7 - 52.5 - 64.5 - 76.7 - 89.1 (29.1-36.6)	5-7	4940.0	17.0	5-7	1,510	16.0	3-7	3,460	28.0	3-5	1,140	12.0	7=>5=>3	127350.0	300.0
200401010501	芝	右	1200	晴	良	10:55	2歳未勝利		2004-8-28	1	札幌	5	2歳未勝利	(混)[指](馬齢)	7	1700	6	7	290	6	2	130	1	8.0	170	4.0	2-7	370	1	7=>2	5670	22	2-7-8	2230	9			(*4,5,6)(2,8)(1,7)9-3-10	(*4,5,6)(2,8)(1,7)-9-(3,10)	12.3 - 11.4 - 11.3 - 11.4 - 11.8 - 12.4	12.3 - 23.7 - 35.0 - 46.4 - 58.2 - 70.6 (35.0-35.6)	2-7	1790.0	9.0	2-7	620	9.0	7-8	900	11.0	2-8	290	4.0			
200401010502	ダ	右	1700	晴	良	11:25	3歳未勝利		2004-8-28	1	札幌	5	3歳未勝利	(父)[指](馬齢)	1	210	1	1	110	1	12	150	2	9.0	1,020	8.0	1-8	320	1	1=>12	660	1	1-9-12	6450	19	(*2,6)(1,4,9,10,12)(3,7)8(11,13)-5	(*2,6,12)(1,9,10)(4,7)(3,8)(11,13)-5	(*2,6,12)(1,9,10)(4,7,8)(3,11,13)=5	(2,*1,12)10(9,7)4,13,11,3(5,8)6	7.2 - 11.2 - 12.7 - 13.2 - 12.8 - 13.1 - 13.2 - 12.5 - 12.7	7.2 - 18.4 - 31.1 - 44.3 - 57.1 - 70.2 - 83.4 - 95.9 - 108.6 (31.1-38.4)	1-12	370.0	1.0	1-12	160	1.0	1-9	2,050	19.0	9-12	2,120	20.0			
200401010503	芝	右	1200	晴	良	11:55	2歳新馬		2004-8-28	1	札幌	5	2歳新馬	牝[指](馬齢)	5	1270	5	5	180	4	11	110	2	2.0	110	1.0	5-8	650	3	5=>11	2320	8	2-5-11	850	2			(*2,11)(5,7)(1,3)-(8,9)(4,10)-6	(*2,11)5-(1,7,3)-9-(4,10)8-6	12.4 - 11.1 - 11.4 - 11.6 - 11.4 - 12.2	12.4 - 23.5 - 34.9 - 46.5 - 57.9 - 70.1 (34.9-35.2)	5-11	700.0	3.0	5-11	320	4.0	2-5	540	6.0	2-11	190	2.0			
200401010504	ダ	右	1700	晴	良	12:45	3歳未勝利		2004-8-28	1	札幌	5	3歳未勝利	[指](馬齢)	2	120	1	2	100	1	13	120	2	1.0	270	5.0	2-8	270	1	2=>13	300	1	1-2-13	1670	5	2,9,10-(7,13)1(3,6)(8,12,11)4,5	2-(9,10)-(7,13)-(1,6)-(3,12,11)-8-(4,5)	2(13,9)10(1,11)-(7,5)(3,6,12)(8,4)	(*2,13)-(1,11)9(7,10)5,3,4(8,12)=6	7.0 - 10.7 - 11.9 - 13.2 - 13.0 - 13.3 - 13.4 - 12.7 - 12.6	7.0 - 17.7 - 29.6 - 42.8 - 55.8 - 69.1 - 82.5 - 95.2 - 107.8 (29.6-38.7)	2-13	260.0	1.0	2-13	150	1.0	1-2	490	5.0	1-13	1,420	16.0			
200401010505	芝	右	2000	晴	良	13:15	3歳未勝利		2004-8-28	1	札幌	5	3歳未勝利	[指](馬齢)	1	660	4	1	240	4	5	160	1	7.0	310	6.0	1-3	610	2	1=>5	2580	4	1-5-7	5620	9	15-3-1(5,6)(8,9,14)(7,4,10,16)(2,13)12-11	15,3,1,6(5,14)(8,9)16(7,4,10,13)2,12-11	15(3,1)(5,8,6)(7,4,9,14)16(2,10)(13,12)11	15(3,1)(5,6)(7,8)(4,14)-(9,2)11(10,16)(13,12)	12.2 - 11.3 - 12.1 - 13.1 - 13.0 - 13.1 - 12.2 - 11.8 - 12.0 - 12.0	12.2 - 23.5 - 35.6 - 48.7 - 61.7 - 74.8 - 87.0 - 98.8 - 110.8 - 122.8 (35.6-35.8)	1-5	1330.0	2.0	1-5	480	2.0	1-7	1,560	17.0	5-7	1,210	12.0			
200401010506	ダ	右	1000	晴	良	13:45	3歳以上500万下		2004-8-28	1	札幌	5	3歳以上500万下	[指](別定)	6	150	1	6	100	1	7	130	2	4.0	220	5.0	5-6	210	1	6=>7	480	1	4-6-7	1320	4			6,7-8,9(4,5)(2,3,12)1(10,11)	6,7-8-9,4(2,5)(1,12)(3,10)-11	12.6 - 11.2 - 11.4 - 11.8 - 12.7	12.6 - 23.8 - 35.2 - 47.0 - 59.7 (35.2-35.9)	6-7	370.0	1.0	6-7	180	1.0	4-6	390	6.0	4-7	710	10.0			
200401010507	ダ	右	2400	晴	良	14:15	3歳以上500万下		2004-8-28	1	札幌	5	3歳以上500万下	(混)(特指)(別定)	9	270	1	9	130	1	12	190	3	4.0	270	7.0	7-8	280	1	9=>12	1330	2	4-9-12	3010	9	(*9,10)(3,4)8(2,1)12,5(7,11,6)	(*9,10)(3,4)(2,1,8)12(5,11)(7,6)	(*9,4)(8,12)(3,1)-(2,11)(7,5)-10-6	9,4(1,8,12)-(3,11)-(7,5,2)=(10,6)	13.4 - 12.5 - 12.8 - 12.4 - 13.2 - 13.5 - 13.5 - 12.7 - 12.6 - 12.6 - 12.4 - 13.0	13.4 - 25.9 - 38.7 - 51.1 - 64.3 - 77.8 - 91.3 - 104.0 - 116.6 - 129.2 - 141.6 - 154.6 (38.7-38.0)	9-12	800.0	1.0	9-12	410	3.0	4-9	550	5.0	4-12	970	15.0			
200401010508	ダ	右	1700	晴	良	14:50	3歳以上500万下		2004-8-28	1	札幌	5	3歳以上500万下	(特指)(別定)	11	240	1	11	130	1	13	150	3	6.0	410	6.0	7-8	360	1	11=>13	880	2	6-11-13	2990	8	13,11(3,7)(1,10)2,12,8,5,6(4,9)	13,11(3,7)(1,10)2,12,8,5(4,6)9	(*13,11)(3,7,10,6)(2,12)(8,5)4(1,9)	13,11,6(10,5)(7,2)(8,12,4)9-(3,1)	6.9 - 11.1 - 12.4 - 13.4 - 13.5 - 13.0 - 12.3 - 12.0 - 12.4	6.9 - 18.0 - 30.4 - 43.8 - 57.3 - 70.3 - 82.6 - 94.6 - 107.0 (30.4-36.7)	11-13	500.0	1.0	11-13	240	2.0	6-11	890	8.0	6-13	1,240	12.0			
200401010509	芝	右	1800	晴	良	15:25	TVh賞 		2004-8-28	1	札幌	5	3歳以上1000万下	(混)[指](別定)	3	1810	7	3	380	7	7	160	2	9.0	170	3.0	3-7	1500	7	3=>7	6230	32	3-7-9	3690	16	4,1,10-(3,7)(2,6)(8,9)5	4-1-10-(3,7)6(2,8,9)-5	4,1(3,10,7)(2,6)(9,8)-5	4(3,1,7)(2,6)(10,9,8)5	12.3 - 11.1 - 11.8 - 11.8 - 12.5 - 12.5 - 12.1 - 11.6 - 11.7	12.3 - 23.4 - 35.2 - 47.0 - 59.5 - 72.0 - 84.1 - 95.7 - 107.4 (35.2-35.4)	3-7	2300.0	13.0	3-7	830	14.0	3-9	1,320	19.0	7-9	360	2.0	3=>7=>9	25650.0	126.0
200401010510	芝	右	1800	晴	良	16:05	3歳以上500万下		2004-8-28	1	札幌	5	3歳以上500万下	牝[指](別定)	6	550	3	6	210	4	14	130	1	9.0	220	5.0	4-8	820	4	6=>14	2390	8	6-9-14	2560	8	(1,*5)-6(8,7)(4,10)9(2,3,11)(12,13)-14	5-(1,6)7(4,8,10)9(2,3,11)(12,13)-14	5(6,7)(1,8,10,3)(4,11)(12,9,14)(2,13)	(5,*6)(1,7,10,3)(8,9,14)(4,12)(2,13)-11	12.5 - 11.4 - 12.3 - 12.9 - 13.3 - 12.7 - 11.5 - 11.6 - 11.8	12.5 - 23.9 - 36.2 - 49.1 - 62.4 - 75.1 - 86.6 - 98.2 - 110.0 (36.2-34.9)	6-14	1050.0	3.0	6-14	430	3.0	6-9	1,050	14.0	9-14	530	5.0			
200401010511	芝	右	1500	晴	良	16:40	クローバー賞 		2004-8-28	1	札幌	5	2歳オープン	(混)(特指)(別定)	3	1010	4	3	220	5	12	110	1	11.0	210	4.0	3-8	760	3	3=>12	2510	9	3-11-12	2050	7		3,4-(6,7,12)(5,10)(8,9,11)-(1,2)	3,4(12,10)(6,7,8)-5(2,9,11)-1	(*3,4)(12,10)(6,8,11)5,9,2(7,1)	7.0 - 11.4 - 11.6 - 12.3 - 12.1 - 11.9 - 11.7 - 12.0	7.0 - 18.4 - 30.0 - 42.3 - 54.4 - 66.3 - 78.0 - 90.0 (30.0-35.6)	3-12	800.0	3.0	3-12	360	4.0	3-11	1,250	16.0	11-12	320	3.0			
200401010512	ダ	右	1000	晴	良	17:10	白鳥大橋特別 		2004-8-28	1	札幌	5	3歳以上1000万下	(混)[指](別定)	12	1160	5	12	230	5	6	150	2	3.0	140	1.0	5-8	780	4	12=>6	3830	15	3-6-12	1440	2			(*12,6)(3,5)7(10,11)(1,4)8(2,9)	(*12,6)-3,7(1,5)(10,11)(2,4,8)9	12.3 - 10.9 - 11.3 - 11.5 - 12.3	12.3 - 23.2 - 34.5 - 46.0 - 58.3 (34.5-35.1)	6-12	1570.0	6.0	6-12	520	5.0	3-12	580	7.0	3-6	260	1.0	12=>6=>3	13650.0	38.0
200401010601	芝	右	1800	曇	良	10:55	2歳未勝利		2004-8-29	1	札幌	6	2歳未勝利	(混)[指](馬齢)	1	280	2	1	150	2	4	200	3	5.0	650	7.0	1-4	830	3	1=>4	1390	4	1-4-5	6320	19	(3,*4)6(1,5)8(2,9)7	(3,*4)-6(1,8,5)(2,9)7	(*3,4)6(1,8,5)(7,9)2	(*3,4)(1,6,5)-8(7,9,2)	12.4 - 11.5 - 12.2 - 12.5 - 12.8 - 12.8 - 12.2 - 12.2 - 11.9	12.4 - 23.9 - 36.1 - 48.6 - 61.4 - 74.2 - 86.4 - 98.6 - 110.5 (36.1-36.3)	1-4	800.0	3.0	1-4	360	4.0	1-5	1,320	16.0	4-5	2,020	18.0			
200401010602	ダ	右	1000	曇	良	11:25	2歳未勝利		2004-8-29	1	札幌	6	2歳未勝利	(混)[指](馬齢)	9	250	1	9	150	2	4	1,300	9	5.0	280	5.0	4-7	7770	14	9=>4	12920	37	4-5-9	21280	52			(*5,11)-9(1,6)8(4,7)(2,10) 3	(*5,11)-(1,9)7(4,6,8)-2=10 3	12.7 - 11.1 - 11.9 - 12.4 - 12.3	12.7 - 23.8 - 35.7 - 48.1 - 60.4 (35.7-36.6)	4-9	9940.0	22.0	4-9	2,900	26.0	5-9	420	5.0	4-5	5,150	31.0			
200401010603	芝	右	1000	曇	良	11:55	2歳新馬		2004-8-29	1	札幌	6	2歳新馬	(混)[指](馬齢)	4	450	3	4	140	2	7	120	1	2.0	250	5.0	4-6	650	3	4=>7	1460	4	2-4-7	1490	3			11(8,7,10)3,4,9-2-1(5,6)	(*11,8,7)-(3,4,10)9,2-1-(5,6)	12.5 - 11.3 - 11.2 - 11.5 - 11.8	12.5 - 23.8 - 35.0 - 46.5 - 58.3 (35.0-34.5)	4-7	630.0	2.0	4-7	240	2.0	2-4	710	8.0	2-7	490	5.0			
200401010604	ダ	右	1000	曇	良	12:45	3歳未勝利		2004-8-29	1	札幌	6	3歳未勝利	牝[指](馬齢)	6	360	2	6	180	3	5	140	2	4.0	600	7.0	5-5	820	4	6=>5	1720	7	4-5-6	5320	17			(*5,6)12,8,9,7(1,2,4)10,3,11	(5,*6)-(8,12)-4,9,7(1,2)-(3,10,11)	12.8 - 11.2 - 12.0 - 12.0 - 12.6	12.8 - 24.0 - 36.0 - 48.0 - 60.6 (36.0-36.6)	5-6	880.0	3.0	5-6	350	3.0	4-6	1,880	19.0	4-5	1,330	13.0			
200401010605	ダ	右	1700	曇	良	13:15	3歳未勝利		2004-8-29	1	札幌	6	3歳未勝利	(混)[指](馬齢)	7	330	1	7	160	2	8	910	9	1.0	160	3.0	5-6	1600	7	7=>8	12140	39	1-7-8	8890	31	(*4,13)(5,8)(2,6,9,11,12)1,7,3,10	(*4,13)(5,8)9(2,6,12)(1,11)-7,3,10	8(4,13)9-(1,5,12)7,2,11(6,3)10	8(4,13)9,7,12(1,5)(11,2)(6,3)-10	7.0 - 11.3 - 12.5 - 13.0 - 12.8 - 12.8 - 12.7 - 12.9 - 13.2	7.0 - 18.3 - 30.8 - 43.8 - 56.6 - 69.4 - 82.1 - 95.0 - 108.2 (30.8-38.8)	7-8	9340.0	25.0	7-8	2,490	25.0	1-7	200	1.0	1-8	3,170	27.0			
200401010606	芝	右	1200	曇	良	13:45	3歳未勝利		2004-8-29	1	札幌	6	3歳未勝利	(混)[指](馬齢)	10	3850	7	10	550	8	9	100	1	6.0	160	2.0	5-5	2370	8	10=>9	10040	27	6-9-10	4020	10			(*8,9)(1,6,16)(4,11,13)(7,12)(2,15)(10,14)5,3	(*8,9)(1,16)(6,13)(4,11)7(2,12,10)-(14,15)-(3,5)	12.4 - 10.7 - 11.5 - 11.6 - 11.9 - 11.7	12.4 - 23.1 - 34.6 - 46.2 - 58.1 - 69.8 (34.6-35.2)	9-10	2250.0	7.0	9-10	990	11.0	6-10	2,870	29.0	6-9	220	1.0			
200401010607	ダ	右	1000	曇	良	14:15	3歳以上500万下		2004-8-29	1	札幌	6	3歳以上500万下	(特指)(別定)	10	670	4	10	180	3	7	110	1	11.0	180	4.0	6-7	470	2	10=>7	2410	10	7-10-11	1860	5			6,10(7,11)-9,2(3,4)8(1,5) 12	6(10,11)7-2(4,8)9,3(1,5) 12	12.7 - 11.0 - 12.0 - 11.9 - 12.2	12.7 - 23.7 - 35.7 - 47.6 - 59.8 (35.7-36.1)	7-10	910.0	3.0	7-10	400	3.0	10-11	850	13.0	7-11	370	2.0			
