rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		サンゲーリー	セ5	56.0		山林堂信	1:30.5		1-1-1-1	39.8	6.6	4	489	-3		池田孝		（株）加藤ステーブ	100.0
2	3	3		サコウイッパク	牡6	56.0		田中涼	1:30.7	3/4	5-5-5-3	39.3	3.2	1	516	-10		佐藤博紀		村島昭男	38.0
3	2	2		シャイニングアトム	牡7	56.0		山崎誠士	1:30.8	1/2	6-3-3-2	39.7	3.4	2	499	-1		内田勝義		伊藤享	25.0
4	7	10		サンディー	牝5	54.0		御神本訓	1:30.8	クビ	9-9-9-8	38.7	32.5	8	459	-2		林隆之		（株）ニッシンホー	15.0
5	4	4		プラネットブルー	牡7	56.0		本田正重	1:31.3	2.1/2	8-7-8-6	39.6	22.8	6	535	-3		山崎裕也		森岡幸人	12.0
6	8	11		キンイロノツバサ	牡4	56.0		今野忠成	1:31.6	1.1/2	4-6-7-9	40.0	36.7	9	455	-7		安池成実		片岡信賢	
7	6	8		フレグラントエリア	牝5	54.0		笹川翼	1:31.7	クビ	9-10-6-3	40.1	3.6	3	475	-7		平田正一		（株）リバティホー	
8	7	9		シラカミゴールド	牝4	54.0		矢野貴之	1:32.2	2.1/2	2-2-2-5	41.2	19.6	5	492	-5		高月賢一		鈴木雅俊	
9	5	5		アッフェルマーレ	牝4	54.0		伊藤裕人	1:32.3	1/2	11-11-12-10	39.9	92.2	12	463	-5		山崎尋美		（有）下河辺牧場	
10	6	7		ナインシュヴァハ	牝4	50.0		北島希望	1:32.4	1/2	12-12-11-11	40.0	72.6	11	408	4		山田質		尾高正英	
11	8	12		コンドルパワー	牝4	54.0		和田譲治	1:32.4	アタマ	3-4-4-7	41.1	58.8	10	444	0		佐々木功		潤間力夫	
12	5	6		ハンズスミス	牡6	56.0		町田直希	1:32.7	1.1/2	7-8-10-11	40.6	25.2	7	478	4		平田正一		永山勝敏	
