rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		デランブル	牡6	55.0		吉原寛人	1:43.7		4-4-3-2	39.1	2.8	1	517	-1		内田勝義		吉田晴哉	270.0
2	8	12		スターギア	牝6	53.0		藤本現暉	1:44.1	2.0	1-1-1-1	39.7	17.8	6	470	2		内田勝義		（有）グランド牧場	108.0
3	5	6		アルファフレイム	牡5	55.0		笹川翼	1:44.1	アタマ	6-5-7-4	39.2	29.1	8	456	0		坂本昇		近藤勝安	67.5
4	2	2		キョウワヴィラン	牡6	54.0		中越琉世	1:44.2	3/4	9-8-9-9	39.1	5.5	3	497	0		山田正実		冨田藤男	40.5
5	4	4		ディアベリンダ	牝6	53.0		町田直希	1:44.5	1.1/2	10-10-10-7	39.3	60.3	10	448	2		山崎裕也		高樽秀夫	27.0
6	1	1		ナムラシンウチ	牡7	57.0		石崎駿	1:44.7	1.0	12-12-6-5	39.2	55.1	9	504	-10		市村誠		鶴谷厚子	
7	6	7		フリーホースカップ	牝4	55.0		藤江渉	1:45.0	1.1/2	5-5-5-8	40.2	3.1	2	456	1		久保秀男		福岡純一	
8	6	8		レインハート	牡7	55.0		服部茂史	1:45.0	ハナ	8-9-10-12	39.7	135.8	11	487	-3		加藤誠一		橋本義次	
9	7	9		ドンゲイボルグ	牡8	55.0		山林堂信	1:45.2	3/4	11-11-10-9	39.4	224.5	12	477	0		村田順一		酒井孝敏	
10	3	3		ルーレットスピナー	牡6	57.0		桑村真明	1:45.2	クビ	2-2-2-3	40.6	8.2	4	455	1		山下貴之		（有）キャロットフ	
11	7	10		ノートゥルレーヴ	牝6	53.0		本田正重	1:45.4	3/4	3-3-3-5	40.7	17.8	7	479	-5		出川克己		（有）キャロットフ	
12	8	11		ハクサンペリー	牡6	57.0		澤田龍哉	1:46.0	3.0	6-7-8-11	41.0	11.7	5	507	7		森始		河崎五市	
